X,Y,Z,r,absv
0.179097,0.137129,0.0121833,0.003,303.462
0.318519,0.114351,0.0745098,0.003,280.016
0.252466,0.0313183,0.0254272,0.003,296.354
0.176666,0.185821,0.0462352,0.003,309.061
0.272068,0.294796,0.0688651,0.003,279.41
0.106298,0.322265,0.00975037,0.003,312.179
0.345543,0.223139,0.0324316,0.003,298.382
0.301035,0.0182972,0.0850435,0.003,301.122
0.285167,0.29054,0.0219476,0.003,291.358
0.24098,0.0225355,0.0804768,0.003,300.177
0.155321,0.284076,0.0699931,0.003,300.147
0.000727881,0.0162997,0.00207878,0.003,293.24
0.144749,0.352933,0.0223955,0.003,304.592
0.185815,0.283809,0.0825762,0.003,342.58
0.334222,0.0831711,0.102273,0.003,288.707
0.101713,0.228392,0.0807413,0.003,262.684
0.334745,0.271427,0.062446,0.003,271.888
0.257204,0.25964,0.093152,0.003,299.925
0.203346,0.321242,0.0109246,0.003,295.31
0.226946,0.123459,0.043397,0.003,269.67
0.241123,0.00287128,0.0275913,0.003,324.466
0.160618,0.133699,0.0428874,0.003,317.877
0.0760453,0.179812,0.0482763,0.003,293.863
0.352458,0.0345503,0.0648876,0.003,317.936
0.0154483,0.257308,0.0894779,0.003,277.194
0.261031,0.0712053,0.0718582,0.003,297.229
0.293483,0.134906,0.0713028,0.003,286.623
0.25999,0.361098,0.0675733,0.003,308.224
0.140602,0.0839761,0.0825815,0.003,263.545
0.14042,0.0926478,0.0664622,0.003,286.065
0.160522,0.00519061,0.0121897,0.003,288.802
0.174001,0.00193462,0.0297705,0.003,291.436
0.134941,0.0983475,0.094997,0.003,303.331
0.0141729,0.207493,-0.00604086,0.003,302.618
0.24662,0.167154,0.0752469,0.003,300.727
0.0447033,0.0239693,0.010775,0.003,294.571
0.112008,0.174391,0.103947,0.003,295.644
0.080914,0.305084,-0.00644335,0.003,280.2
0.299215,0.349446,0.0907956,0.003,334.436
0.0644425,0.228282,0.0011777,0.003,321.403
0.0634814,0.249759,0.0724046,0.003,255.806
0.215962,0.0554389,0.0897512,0.003,307.793
0.0407456,0.270749,0.0496004,0.003,279.507
