X,Y,Z,r,absv
0.0498728,0.0530424,0.0499331,0.05,0.000310894
0.149738,0.0499626,0.0500098,0.05,0.000347345
0.249655,0.0500138,0.0499834,0.05,0.000445059
0.349581,0.0499411,0.0499621,0.05,0.00048005
0.449509,0.0499253,0.0499533,0.05,0.000791232
0.549466,0.0499036,0.0499285,0.05,0.00107065
0.649517,0.0499128,0.0499224,0.05,0.0015321
0.749761,0.0499232,0.0499385,0.05,0.00144945
0.850627,0.0499516,0.0499303,0.05,0.000934135
0.952172,0.0499433,0.0499091,0.05,0.000814352
1.0544,0.0499619,0.0499485,0.05,0.000676944
1.1573,0.0499435,0.0499389,0.05,0.000522782
1.26164,0.0500166,0.0499805,0.05,0.00274625
1.36732,0.0501051,0.0499453,0.05,0.00473876
1.47313,0.0506055,0.0499358,0.05,0.0119502
1.5786,0.0500042,0.0499701,0.05,0.00429566
1.68384,0.0504866,0.0499096,0.05,0.00506904
1.79175,0.050234,0.0499917,0.05,0.00582473
1.89748,0.0499475,0.0499499,0.05,0.00685952
2.00014,0.0498879,0.0498974,0.05,0.00132308
2.10139,0.0499127,0.0499432,0.05,0.000748537
2.2025,0.0498886,0.0499197,0.05,0.000768518
2.30283,0.049911,0.0499271,0.05,0.000845071
2.40288,0.0499298,0.0499271,0.05,0.000686359
2.50285,0.0499717,0.0499659,0.05,0.000586982
2.60281,0.0500213,0.0499817,0.05,0.000179116
2.70277,0.0499726,0.0499793,0.05,0.000129062
2.80274,0.0499791,0.0499584,0.05,0.00022944
2.94876,0.0500736,0.0499935,0.05,6.71848e-05
0.0995255,0.139759,0.0499781,0.05,0.000303011
0.199465,0.136758,0.0499806,0.05,0.000621951
0.299482,0.136672,0.0499896,0.05,0.000501803
0.399472,0.136549,0.0499687,0.05,0.000922331
0.499447,0.136455,0.0499495,0.05,0.00127879
0.599441,0.1364,0.0499234,0.05,0.0021004
0.699635,0.136361,0.0499241,0.05,0.00292407
0.800225,0.136237,0.0499302,0.05,0.00250878
0.901489,0.136121,0.0499367,0.05,0.00137476
1.0032,0.135877,0.0499583,0.05,0.00105728
1.10586,0.13566,0.0499458,0.05,0.00086488
1.20937,0.135257,0.0499815,0.05,0.000932506
1.31479,0.135197,0.0499741,0.05,0.00650579
1.42056,0.135652,0.0499819,0.05,0.0136455
1.52656,0.135462,0.0499785,0.05,0.00702069
1.63255,0.136309,0.0499855,0.05,0.0056742
1.73967,0.135889,0.0499919,0.05,0.00408468
1.84537,0.135476,0.0499427,0.05,0.00637781
1.94847,0.135888,0.0499895,0.05,0.00798088
2.05056,0.136094,0.0499578,0.05,0.00154717
2.15193,0.13608,0.0499386,0.05,0.00106181
2.25262,0.136312,0.0499553,0.05,0.00117995
2.35285,0.136451,0.049941,0.05,0.00137884
2.45287,0.136566,0.0499619,0.05,0.000941926
2.5529,0.137032,0.049948,0.05,0.000334164
2.65289,0.137297,0.0499593,0.05,0.000142702
2.75287,0.137486,0.0499764,0.05,0.000257229
2.86771,0.150129,0.0499935,0.05,6.72328e-05
0.0498654,0.233279,0.0498874,0.05,0.000179552
0.14956,0.226281,0.0499561,0.05,0.000411117
0.2495,0.223327,0.0499757,0.05,0.000866937
0.349498,0.223223,0.0499522,0.05,0.000668709
0.449484,0.223093,0.0499675,0.05,0.00118359
0.549458,0.222943,0.0499358,0.05,0.00163731
0.649556,0.222828,0.0499349,0.05,0.00313054
0.750034,0.222652,0.0499456,0.05,0.0051684
0.851129,0.222478,0.0499391,0.05,0.00321429
0.952676,0.22217,0.0499518,0.05,0.00141943
1.05468,0.221553,0.0499625,0.05,0.00121557
1.15787,0.221025,0.0499647,0.05,0.00139429
1.26208,0.220176,0.0499541,0.05,0.00549969
1.3673,0.220574,0.0499811,0.05,0.0102023
1.47364,0.22053,0.0499711,0.05,0.0139251
1.57967,0.221182,0.0499904,0.05,0.0101332
1.68707,0.221033,0.0499676,0.05,0.00373028
1.79304,0.220752,0.0499596,0.05,0.00345131
1.89646,0.221412,0.0499703,0.05,0.00623645
1.99931,0.221922,0.0499631,0.05,0.00301142
2.10122,0.222174,0.0499246,0.05,0.00148455
2.20204,0.222493,0.0499355,0.05,0.00136799
2.30257,0.222828,0.0499346,0.05,0.00136722
2.40267,0.223116,0.0499456,0.05,0.00162121
2.50268,0.223661,0.0499519,0.05,0.000866108
2.6029,0.2247,0.0499624,0.05,0.000577938
2.70306,0.22576,0.0499452,0.05,0.000346779
2.80316,0.22681,0.0499657,0.05,0.000378115
2.9414,0.217781,0.0499791,0.05,0.00060135
0.0997848,0.319797,0.0499725,0.05,0.000177375
0.199509,0.312841,0.0499596,0.05,0.000545363
0.299479,0.309916,0.0499935,0.05,0.00113638
0.399499,0.309794,0.0499609,0.05,0.000839497
0.499573,0.309596,0.0499627,0.05,0.00126448
0.599549,0.309356,0.0499308,0.05,0.00194812
0.699909,0.3091,0.0499457,0.05,0.00609929
0.800731,0.308787,0.0499454,0.05,0.0103456
0.902196,0.308479,0.0499647,0.05,0.00492913
1.00418,0.30787,0.0499512,0.05,0.00222388
1.10665,0.306948,0.0499715,0.05,0.00217079
1.21018,0.306225,0.0499818,0.05,0.00223567
1.3142,0.305468,0.05,0.05,0.00334726
