X,Y,Z,r,absv
0.0499661,0.059177,0.0499749,0.05,0.0256369
0.150812,0.0504699,0.0499933,0.05,0.0180812
0.252561,0.0499792,0.049986,0.05,0.0552323
0.352536,0.0499765,0.0499722,0.05,0.0438849
0.452504,0.0499037,0.0498988,0.05,0.05319
0.552479,0.0498699,0.0498696,0.05,0.0522793
0.652474,0.0498893,0.0498922,0.05,0.0486453
0.752469,0.0498704,0.0499065,0.05,0.0329753
0.852705,0.0499284,0.0499735,0.05,0.0149566
0.954578,0.0499265,0.049968,0.05,0.0081951
1.05754,0.0499565,0.0499998,0.05,0.012986
1.16194,0.049958,0.0499556,0.05,0.0244677
1.26568,0.0499963,0.0499817,0.05,0.0429383
1.37121,0.0499591,0.049955,0.05,0.0142864
1.47549,0.0499856,0.0499808,0.05,0.0254764
1.58057,0.049995,0.0499941,0.05,0.0133512
1.68517,0.0499466,0.049946,0.05,0.0258606
1.7911,0.0499735,0.0499847,0.05,0.0524781
1.89749,0.0499133,0.0500218,0.05,0.0157246
2.0003,0.0498485,0.0499086,0.05,0.0253727
2.10051,0.0498309,0.0498816,0.05,0.0134496
2.20045,0.0499003,0.0499066,0.05,0.00991142
2.30036,0.0499224,0.0499343,0.05,0.0182318
2.40027,0.0499874,0.0499355,0.05,0.0222987
2.50018,0.0499971,0.0501857,0.05,0.0308306
2.60009,0.0502579,0.0499862,0.05,0.0361155
2.7,0.0500366,0.0501577,0.05,0.040069
2.79992,0.0499749,0.0499482,0.05,0.0372763
2.94876,0.0501437,0.0499935,0.05,6.71848e-05
0.102786,0.14887,0.0499576,0.05,0.0807
0.202673,0.145836,0.0499495,0.05,0.0568422
0.302569,0.143206,0.0499482,0.05,0.0489875
0.402474,0.140438,0.0498958,0.05,0.0752644
0.50236,0.137652,0.0498768,0.05,0.077192
0.60231,0.136448,0.0499261,0.05,0.0398868
0.702356,0.136422,0.0499117,0.05,0.0436895
0.80244,0.136315,0.0499625,0.05,0.0203968
0.903667,0.135899,0.0499801,0.05,0.0068028
1.00604,0.135624,0.049979,0.05,0.00834441
1.10971,0.135228,0.049985,0.05,0.0283664
1.21339,0.13566,0.0499884,0.05,0.0287491
1.31867,0.135027,0.0499721,0.05,0.00646544
1.42322,0.135345,0.0499772,0.05,0.00907091
1.52801,0.135074,0.0499762,0.05,0.0109562
1.63316,0.135284,0.0499864,0.05,0.0290953
1.73834,0.134878,0.0499671,0.05,0.0463421
1.84442,0.134635,0.0499662,0.05,0.0226106
1.94898,0.135511,0.0499665,0.05,0.0429709
2.0505,0.136197,0.0499617,0.05,0.0354955
2.15058,0.136432,0.049941,0.05,0.0334699
2.25068,0.136615,0.0499573,0.05,0.019292
2.35068,0.136861,0.0499765,0.05,0.0160172
2.45108,0.138972,0.0499487,0.05,0.0149963
2.55177,0.140599,0.0499685,0.05,0.0301484
2.65186,0.142476,0.0499316,0.05,0.0558137
2.75442,0.146078,0.0499742,0.05,0.0439176
2.86141,0.15946,0.0499918,0.05,0.0809733
0.0499333,0.243117,0.0499516,0.05,0.0098247
0.151732,0.238048,0.0499418,0.05,0.0505058
0.25161,0.234135,0.0499634,0.05,0.0425755
0.351511,0.230641,0.0499717,0.05,0.0561405
0.451422,0.22775,0.0499705,0.05,0.0492306
0.55133,0.224691,0.0499679,0.05,0.104271
0.652005,0.223128,0.0499079,0.05,0.0132956
0.752488,0.222828,0.0499218,0.05,0.0204079
0.853392,0.222232,0.0499459,0.05,0.0128623
0.955069,0.221615,0.0500037,0.05,0.0237999
1.05815,0.220922,0.0499746,0.05,0.0243173
1.16115,0.220942,0.0500029,0.05,0.0427502
1.26653,0.22033,0.0499533,0.05,0.00426533
1.37057,0.220496,0.0499946,0.05,0.0479485
1.47581,0.220368,0.0499768,0.05,0.00805001
1.58045,0.220205,0.0499507,0.05,0.0102881
1.68609,0.22009,0.0499879,0.05,0.0487153
1.79158,0.219499,0.0499789,0.05,0.0431877
1.89616,0.220257,0.0499603,0.05,0.0389735
1.99914,0.22187,0.0499671,0.05,0.0582802
2.10026,0.222733,0.0499744,0.05,0.0399238
2.20055,0.223051,0.0499498,0.05,0.00417008
2.30091,0.223614,0.0499961,0.05,0.00709151
2.40114,0.225762,0.0499927,0.05,0.00995799
2.50114,0.228808,0.0499368,0.05,0.0337149
2.60177,0.232199,0.0499562,0.05,0.0356163
2.70259,0.236988,0.0499319,0.05,0.0995868
2.80247,0.240429,0.0498814,0.05,0.0923514
2.942,0.221213,0.0499891,0.05,0.00788815
0.102397,0.328204,0.0499293,0.05,0.0107085
0.202468,0.324988,0.0499819,0.05,0.0583694
0.302429,0.321312,0.0499327,0.05,0.0752599
0.402348,0.31749,0.0499362,0.05,0.0607293
0.502266,0.313903,0.0499741,0.05,0.0964071
0.602258,0.31059,0.049968,0.05,0.0994438
0.702473,0.309365,0.0499398,0.05,0.0110631
0.803408,0.308759,0.0499721,0.05,0.0178396
0.904692,0.307937,0.0499662,0.05,0.0284144
1.00696,0.307056,0.0499782,0.05,0.0179901
1.1096,0.306621,0.0499757,0.05,0.0381662
1.2142,0.305661,0.0499723,0.05,0.0167996
1.31836,0.305804,0.049994,0.05,0.0190034
1.42339,0.305521,0.0499725,0.05,0.00749574
1.52832,0.305477,0.0499863,0.05,0.0243552
1.63382,0.305279,0.0499828,0.05,0.0616692
1.73935,0.304733,0.0499683,0.05,0.0228173
1.84415,0.30551,0.0499935,0.05,0.0515763
1.94661,0.306857,0.0499703,0.05,0.0692135
2.04896,0.308405,0.0499719,0.05,0.0358068
2.15006,0.309291,0.0499333,0.05,0.0101879
2.25019,0.309842,0.0499589,0.05,0.015468
2.35026,0.311944,0.0499593,0.05,0.00909185
2.45054,0.31506,0.0499504,0.05,0.0280317
2.5505,0.318576,0.0499472,0.05,0.0552692
2.65042,0.322199,0.0499559,0.05,0.0906608
2.75036,0.325668,0.0499688,0.05,0.0852739
2.85869,0.332189,0.0499935,0.05,0.037344
0.0499859,0.418352,0.049981,0.05,0.0195516
0.15334,0.417403,0.0498979,0.05,0.0707167
0.253188,0.413025,0.0499605,0.05,0.0854915
0.353025,0.407969,0.0499818,0.05,0.0668436
0.452915,0.403729,0.0499926,0.05,0.0691332
0.552882,0.400105,0.0499851,0.05,0.0809418
0.652794,0.396715,0.0499837,0.05,0.0896597
0.753458,0.395305,0.0499299,0.05,0.0103844
0.854708,0.394468,0.0499488,0.05,0.0144159
0.956418,0.393399,0.0499643,0.05,0.04151
1.05861,0.392644,0.0499841,0.05,0.0122068
1.16227,0.391566,0.0499647,0.05,0.0405033
1.26596,0.391154,0.0499817,0.05,0.0117847
1.3711,0.39073,0.0499688,0.05,0.0106029
1.47592,0.390595,0.0499726,0.05,0.0174556
1.58126,0.390284,0.0499575,0.05,0.0232478
1.68706,0.389897,0.0499859,0.05,0.0724615
1.79132,0.390232,0.0499826,0.05,0.0148738
1.89451,0.39212,0.0499707,0.05,0.0385527
1.99654,0.39345,0.0499523,0.05,0.0373778
2.09865,0.394972,0.0499936,0.05,0.0271995
2.19958,0.396049,0.0499416,0.05,0.0148221
2.29951,0.398086,0.0499507,0.05,0.0197479
2.39944,0.40105,0.0499655,0.05,0.03285
2.49937,0.40447,0.0499662,0.05,0.0576377
2.5993,0.408058,0.0499502,0.05,0.0826986
2.69922,0.411522,0.0499548,0.05,0.0849934
2.79929,0.413705,0.0499587,0.05,0.119976
2.94966,0.406719,0.0499901,0.05,0.00730992
0.102233,0.504136,0.0499708,0.05,0.0292537
0.204769,0.503155,0.0499485,0.05,0.0656462
0.304633,0.498833,0.0499564,0.05,0.0771847
0.404471,0.493745,0.0499543,0.05,0.0724619
0.504345,0.489457,0.0499661,0.05,0.0677401
0.60424,0.485877,0.0499769,0.05,0.0854206
0.704149,0.482361,0.0499496,0.05,0.0800584
0.80479,0.481062,0.0499458,0.05,0.00795016
0.906334,0.479974,0.0499481,0.05,0.00793018
1.00795,0.478992,0.0499907,0.05,0.0696646
1.11079,0.477903,0.0499578,0.05,0.0262639
1.21442,0.47683,0.0499768,0.05,0.0115973
1.31885,0.475964,0.0499572,0.05,0.0135987
1.42364,0.475787,0.0499767,0.05,0.0153498
1.52909,0.475516,0.0499883,0.05,0.039012
1.63472,0.475,0.049968,0.05,0.0971325
1.73952,0.475587,0.0499852,0.05,0.0545868
1.8422,0.477204,0.050002,0.05,0.022287
1.94461,0.478784,0.0500348,0.05,0.0693626
2.04643,0.480082,0.0499383,0.05,0.0420608
2.14817,0.481685,0.049913,0.05,0.0244633
2.24802,0.484039,0.0499243,0.05,0.0219191
2.34791,0.486735,0.0499474,0.05,0.0323996
2.44779,0.490096,0.0499743,0.05,0.0612598
2.54765,0.493601,0.04997,0.05,0.0822033
2.6475,0.497016,0.0499512,0.05,0.0847955
2.7474,0.499149,0.049931,0.05,0.103121
2.85003,0.503092,0.050009,0.05,0.120595
0.0499772,0.593621,0.0499817,0.05,0.0288762
0.155368,0.592836,0.0498847,0.05,0.0275619
0.255573,0.59004,0.0499809,0.05,0.0620205
0.355442,0.585031,0.0499814,0.05,0.0765033
0.455306,0.579858,0.0499839,0.05,0.0757291
0.555373,0.575453,0.0499955,0.05,0.0544038
0.655345,0.571795,0.0499607,0.05,0.0882027
0.755236,0.568125,0.0499398,0.05,0.0418342
0.856305,0.566707,0.0499372,0.05,0.0277606
0.957832,0.565559,0.049962,0.05,0.016826
1.05999,0.564277,0.0499637,0.05,0.073422
