X,Y,Z,r,absv
0.0498548,0.0529428,0.0499258,0.05,0.000116174
0.149684,0.0499598,0.0500682,0.05,0.000167219
0.249567,0.0499894,0.0499795,0.05,0.000172252
0.349455,0.049953,0.0499623,0.05,0.000168837
0.449351,0.0499319,0.04994,0.05,0.000175349
0.54929,0.0498922,0.0499044,0.05,0.000172075
0.649319,0.0498833,0.0498921,0.05,0.000145695
0.749545,0.0498879,0.0499026,0.05,0.000162143
0.850374,0.0498997,0.0499096,0.05,0.000156439
0.951778,0.0498821,0.0498887,0.05,0.000144125
1.05393,0.0499179,0.0499285,0.05,0.000157479
1.15694,0.0499425,0.0499396,0.05,0.000175296
1.26113,0.0499828,0.0499787,0.05,0.000155719
1.36641,0.0501636,0.0499516,0.05,5.39113e-05
1.47216,0.0510121,0.0499212,0.05,4.84478e-05
1.57761,0.0501775,0.0499536,0.05,3.7751e-05
1.68278,0.0507728,0.049909,0.05,4.58411e-05
1.79007,0.0499996,0.0499935,0.05,0.000352981
1.89616,0.0499525,0.049964,0.05,1.69104e-05
1.99919,0.0498592,0.0498841,0.05,3.01096e-05
2.10065,0.0498821,0.0499157,0.05,2.87168e-05
2.20189,0.0498375,0.0498849,0.05,5.81714e-06
2.30236,0.0498757,0.0499096,0.05,2.0981e-06
2.40255,0.0499075,0.049911,0.05,1.85486e-05
2.50254,0.0499679,0.0499639,0.05,3.24867e-05
2.60251,0.0499952,0.0499844,0.05,3.41094e-05
2.70249,0.0499616,0.0499606,0.05,1.88349e-05
2.80252,0.0499737,0.0499664,0.05,2.92175e-05
2.94875,0.0499996,0.0499935,0.05,2.27112e-05
0.0994369,0.139722,0.0499651,0.05,0.000147426
0.199376,0.136734,0.0499578,0.05,0.000264634
0.299376,0.136659,0.0499777,0.05,0.00016686
0.399355,0.136563,0.0499734,0.05,0.00017094
0.49932,0.136461,0.0499619,0.05,0.000187228
0.599299,0.136387,0.0499295,0.05,0.000199707
0.699454,0.136324,0.0499225,0.05,0.000181553
0.799989,0.136178,0.0499216,0.05,0.000163542
0.901142,0.136026,0.0499247,0.05,0.000146915
1.00282,0.135804,0.0499523,0.05,0.000149945
1.10541,0.135589,0.0499476,0.05,0.000157586
1.209,0.13531,0.0499839,0.05,0.000195432
1.31391,0.135527,0.0499918,0.05,5.39181e-05
1.41952,0.136011,0.0499763,0.05,8.56915e-05
1.52581,0.135755,0.0499615,0.05,4.66744e-05
1.6316,0.136666,0.0499887,0.05,4.76542e-05
1.73864,0.136173,0.0499703,0.05,6.72101e-05
1.84411,0.135364,0.0499569,0.05,5.02458e-05
1.94734,0.135805,0.0499789,0.05,3.71494e-05
2.04974,0.135978,0.0499646,0.05,3.21171e-05
2.15128,0.135971,0.0499493,0.05,4.21345e-05
2.25204,0.136201,0.0499659,0.05,1.64762e-05
2.35241,0.136354,0.0499482,0.05,7.78701e-06
2.45247,0.136513,0.0499486,0.05,1.97233e-05
2.55248,0.136845,0.0499426,0.05,8.86897e-06
2.65246,0.137103,0.0499554,0.05,1.19033e-05
2.75243,0.137237,0.0499723,0.05,1.17591e-05
2.86721,0.150103,0.0499912,0.05,3.04753e-05
0.0498425,0.2329,0.0498557,0.05,8.44831e-05
0.149538,0.226207,0.0499408,0.05,0.000131237
0.249452,0.223289,0.0499641,0.05,0.000161737
0.349417,0.223191,0.0499548,0.05,0.000180626
0.449391,0.223099,0.04997,0.05,0.000189129
0.549355,0.222948,0.0499271,0.05,0.00020072
0.649432,0.222824,0.0499206,0.05,0.000215163
0.749863,0.222621,0.0499296,0.05,0.000184381
0.850745,0.22232,0.049926,0.05,0.000140787
0.952252,0.222008,0.0499397,0.05,0.000135409
1.05428,0.221491,0.0499587,0.05,0.000131828
1.15737,0.220988,0.0499825,0.05,0.000178997
1.26142,0.220642,0.0499513,0.05,9.94939e-05
1.36665,0.220933,0.0499608,0.05,0.000123305
1.47282,0.220993,0.0499814,0.05,9.04081e-05
1.57891,0.221752,0.0499923,0.05,0.000255917
1.68576,0.221463,0.0499618,0.05,5.12159e-05
1.79204,0.22071,0.0499534,0.05,8.71728e-05
1.89536,0.221224,0.0499865,0.05,3.37885e-05
1.99835,0.221739,0.0499545,0.05,3.00259e-05
2.10047,0.22201,0.0499289,0.05,3.2979e-05
2.2014,0.222351,0.0499348,0.05,1.27697e-05
2.30203,0.222659,0.0499294,0.05,7.48242e-06
2.40224,0.222986,0.0499324,0.05,1.67085e-05
2.50223,0.223487,0.0499412,0.05,2.34219e-05
2.60246,0.224429,0.0499474,0.05,9.29394e-06
2.70261,0.225336,0.0499352,0.05,4.21744e-06
