point_x,point_y,point_z,force_x,force_y,force_z
-0.276216,-0.47316,0.2,-2.36533,-25.5881,61.5558
-0.310826,-0.421504,0.2,394.018,56.1542,202.794
-0.310826,-0.421504,0.2,394.018,56.1542,202.794
-0.310826,0.371111,0.2,20.3508,-4.55915,209.787
-0.310826,0.371111,0.2,20.3508,-4.55915,209.787
-0.310826,0.380057,0.2,129.747,10.4749,-77.6446
-0.31076,0.380057,0.200236,134.755,8.39574,-64.8463
-0.291521,0.0635916,0.269867,133.711,34.7702,-95.4735
-0.310826,0.123825,0.2,29.1437,-6.32554,-32.7694
-0.309262,0.123825,0.205659,197.404,-57.0378,-159.837
-0.310826,0.135442,0.2,33.7713,-7.89576,36.7725
-0.310826,0.135442,0.2,33.7713,-7.89576,36.7725
-0.310826,0.632587,0.2,-87.9176,-43.9708,204.891
-0.310826,0.632587,0.2,-87.9176,-43.9708,204.891
-0.310826,0.629036,0.2,320.77,-157.717,121.175
-0.310826,0.629036,0.2,320.77,-157.717,121.175
-0.29474,-0.150598,0.258219,93.6311,-45.439,-27.4363
-0.310826,0.775814,0.2,148.548,11.1471,331.421
-0.310826,0.775814,0.2,148.548,11.1471,331.421
-0.305373,-0.823876,0.219737,1126.84,94.8286,-66.2489
-0.300643,0.405953,0.236854,636.03,-130.204,-87.0264
-0.289072,0.776095,0.278733,471.67,115.411,62.7304
-0.295269,0.736056,0.256305,102.124,47.452,-10.1009
-0.295745,0.737913,0.25458,24.9079,18.9658,-9.84648
-0.296935,-0.0308552,0.250274,-8.18029,-3.33178,0.33408
-0.302856,-0.0242831,0.228846,137.954,-5.11239,-56.5008
-0.297092,0.25099,0.249707,359.944,-90.8345,3.88383
-0.297955,0.226786,0.246583,189.959,-76.5765,-15.9166
-0.306725,0.549752,0.21484,220.16,-8.12169,-198.006
-0.306725,0.55,0.21484,219.755,-3.91185,-197.792
-0.310826,0.544531,0.2,352.473,-49.4433,465.659
-0.310826,0.55,0.2,98.8276,56.4585,136.783
-0.310826,0.55,0.2,98.8276,56.4585,136.783
-0.310826,0.544531,0.2,352.473,-49.4433,465.659
-0.310826,0.55,0.2,98.8276,56.4585,136.783
-0.310826,0.55,0.2,98.8276,56.4585,136.783
-0.295068,-0.954922,0.257031,642.861,-132.677,-26.4747
-0.270027,0.0320563,0.348723,15.5459,6.64904,-12.8566
-0.269457,0.0296954,0.350937,57.8113,23.8722,-32.1606
-0.261121,0.0199604,0.383344,23.8587,11.041,-13.7254
-0.261121,0.0166667,0.383344,-19.8442,-5.74285,1.9637
-0.310826,-0.955218,0.2,630.546,-88.9291,656.579
-0.310826,-0.955218,0.2,630.546,-88.9291,656.579
-0.276033,-0.0941202,0.325926,1.91239,0.0013541,-1.72255
-0.276664,-0.773642,0.323642,61.921,25.9158,7.85467
-0.277381,-0.783333,0.321047,-22.5338,-6.78529,5.87493
-0.277381,-0.776435,0.321047,121.376,5.72547,-83.7884
-0.271126,-0.802058,0.344453,64.9944,-33.3171,-16.7567
-0.305561,-0.328572,0.219055,199.369,-5.96284,-101.335
-0.239326,-0.0684628,0.468183,14.8909,-2.00072,1.29411
-0.239687,-0.0684628,0.466667,-2.65983,0.315894,-0.109441
-0.251014,0.851515,0.422633,513.125,-125.401,-10.9127
-0.301016,-0.524764,0.235503,-12.7813,5.93875,1.26394
-0.296974,-0.549378,0.250134,66.9487,10.1237,-58.7388
-0.295843,-0.503411,0.254226,54.5972,8.93557,9.23103
-0.29122,-0.269018,0.270957,523.908,-163.657,-45.7521
-0.288508,-0.223749,0.280774,41.8299,9.47777,-35.419
-0.283034,0.147684,0.300585,48.0933,4.55395,9.01789
-0.283034,0.15,0.300585,24.0287,7.72689,2.99262
-0.283026,0.18229,0.300614,131.903,-11.0276,-50.1504
-0.250587,0.592372,0.424295,6.47246,2.6832,0.669444
-0.25104,0.590494,0.422534,27.8845,9.04082,-13.1904
-0.289571,0.676278,0.276928,154.043,-50.0845,12.0212
-0.30049,0.645926,0.237407,71.6047,21.2473,20.5961
-0.301117,0.643482,0.235137,156.103,-73.326,-71.0111
-0.246788,0.95,0.439061,49.817,-33.3322,-23.786
-0.246788,0.95,0.439061,49.817,-33.3322,-23.786
-0.247626,0.95,0.435803,-2.77579,3.05131,0.669968
-0.247626,0.95,0.435803,-2.77579,3.05131,0.669968
-0.250605,0.936104,0.424225,-16.3076,3.7052,-2.43963
-0.253698,-0.825862,0.412199,120.204,20.1564,-1.25481
-0.247564,-0.937324,0.436047,38.5645,4.69986,7.71405
-0.257123,-0.898817,0.398887,34.1655,-2.56348,7.15535
-0.303701,-0.70353,0.225788,563.822,27.4262,-190.232
-0.218544,-0.573688,0.555432,0.320092,-0.051594,-0.259706
-0.27159,-0.316512,0.342648,155.841,-27.8253,-59.8638
-0.276247,-0.339651,0.325149,188.601,-59.9313,-112.798
-0.27764,0.40344,0.320107,140.975,-18.5556,-2.61435
-0.277549,0.403083,0.320439,144.92,-27.5383,7.77541
-0.270882,0.95,0.345401,-0.131923,-0.0610222,0.0271641
-0.270882,0.95,0.345401,-0.131923,-0.0610222,0.0271641
-0.228571,-0.847334,0.513334,38.4545,12.3096,4.58366
-0.268583,-0.503343,0.354337,13.59,6.73902,-6.68656
-0.218755,-0.172208,0.554547,64.5161,23.7875,4.78688
-0.211246,-0.151094,0.586072,1.61492,0.798826,-0.742969
-0.224504,0.504234,0.53041,16.8748,-7.77311,-4.85059
-0.235189,0.505959,0.48555,22.57,-0.060703,-5.74414
-0.263141,0.711407,0.37549,155.385,24.5223,8.75136
-0.295398,0.95,0.255837,-34.6372,2.24691,-1.68802
-0.295398,0.937954,0.255837,1101.64,-24.1821,133.5
-0.277979,-0.86717,0.318882,95.4898,6.61603,-9.99477
-0.273986,-0.892981,0.333333,-16.3153,-1.32192,2.47279
-0.274148,-0.892981,0.332748,-16.0218,-1.03251,-2.88191
-0.284096,-0.419925,0.296742,181.108,-55.1399,9.2504
-0.284144,-0.419738,0.296568,168.063,21.0176,-41.5094
-0.255074,0.116259,0.406853,243.363,49.8374,-27.7061
-0.249161,0.121434,0.429839,18.1086,9.40669,-6.57125
-0.272783,0.237665,0.338008,87.5836,-19.239,-2.62632
-0.273986,0.237665,0.333333,-6.82823,-0.324451,-0.453255
-0.241625,0.740416,0.459133,30.9428,-16.1081,-9.9474
-0.249698,0.770632,0.42775,53.4922,-26.9421,-10.1538
-0.272014,0.824334,0.341,47.9924,-5.83937,13.6573
-0.273986,0.827366,0.333333,8.43132,-4.48118,-5.2578
-0.272745,0.827366,0.338157,137.891,-43.5696,11.8964
-0.302416,-0.614293,0.230437,157.385,82.2643,-49.9152
-0.301715,-0.617024,0.232975,80.9829,33.8182,-9.47888
-0.308426,-0.641297,0.208686,-11.8641,0.367828,4.76962
-0.308424,-0.641306,0.208694,-11.8885,0.389346,4.66332
-0.248804,-0.461185,0.431225,17.4986,-2.18314,-14.9302
-0.234569,0.0166667,0.488155,30.3149,3.29546,-9.06837
-0.234569,0.0159629,0.488155,31.4326,-11.6507,-12.8166
-0.278121,0.555878,0.318368,13.4134,4.8197,-9.79211
-0.272699,0.534708,0.338336,-14.3994,-0.263631,1.31345
-0.225347,0.868088,0.52687,14.4501,2.05827,-5.12737
-0.2255,-0.970189,0.526229,8.30042,-2.21251,1.3068
-0.258942,-0.680227,0.391813,239.293,62.4139,22.1234
-0.238946,-0.555355,0.469779,32.194,-14.5996,-1.40136
-0.239687,-0.555355,0.466667,-2.90693,-1.52912,1.39476
-0.238567,-0.526206,0.47137,5.63839,-1.72076,0.738101
-0.233634,-0.395772,0.492079,-21.9068,-11.2137,5.97803
-0.227813,-0.409745,0.516516,145.738,-50.3507,14.1544
-0.246451,-0.152356,0.440374,38.3219,-16.8536,-15.7721
-0.255589,-0.192485,0.40485,51.413,-15.7068,-24.5233
