X,Y,Z,r,absv
-0.943488,-0.485666,0.0447388,0.045,0.00224906
-0.954961,-0.512855,0.0252677,0.025,0.00224906
-0.925544,-0.521647,0.0619399,0.0125,0.00224906
-0.977301,-0.50222,0.062099,0.0225,0.00224906
-0.946643,-0.487291,0.0809659,0.0175,0.00224906
-0.909901,-0.472162,0.0510301,0.0175,0.00224906
-0.765209,-0.543166,0.0486746,0.045,0.0358418
-0.78918,-0.527327,0.02807,0.025,0.0358418
-0.744199,-0.531117,0.0122617,0.0125,0.0358418
-0.781529,-0.570647,0.0222692,0.0225,0.0358418
-0.744586,-0.569674,0.0346385,0.0175,0.0358418
-0.734232,-0.531138,0.0643496,0.0175,0.0358418
-0.663082,-0.628323,0.0447149,0.045,0.0410784
-0.632365,-0.627104,0.027251,0.025,0.0410784
-0.633572,-0.648145,0.0701852,0.0125,0.0410784
-0.657858,-0.663152,0.0228436,0.0225,0.0410784
-0.674683,-0.660218,0.0578727,0.0175,0.0410784
-0.673815,-0.614268,0.0769217,0.0175,0.0410784
-0.523276,-0.63446,0.0481062,0.045,0.0616105
-0.532543,-0.600781,0.0535651,0.025,0.0616105
-0.510587,-0.612232,0.0126466,0.0125,0.0616105
-0.560455,-0.627119,0.0312959,0.0225,0.0616105
-0.532875,-0.650605,0.0169254,0.0175,0.0616105
-0.490667,-0.650683,0.0432604,0.0175,0.0616105
-0.443859,-0.589895,0.0441389,0.045,0.107022
-0.448231,-0.561479,0.0647153,0.025,0.107022
-0.440201,-0.603834,0.0854284,0.0125,0.107022
-0.406996,-0.57335,0.0534211,0.0225,0.107022
-0.41491,-0.611306,0.049483,0.0175,0.107022
-0.462885,-0.621142,0.0407254,0.0175,0.107022
-0.313965,-0.672168,0.0448885,0.045,0.12726
-0.341141,-0.671225,0.0674844,0.025,0.12726
-0.315209,-0.631555,0.0610602,0.0125,0.12726
-0.347966,-0.65843,0.0255505,0.0225,0.12726
-0.311415,-0.646481,0.0192235,0.0175,0.12726
-0.277826,-0.667328,0.0494263,0.0175,0.12726
-0.205999,-0.749061,0.0439587,0.045,0.359574
-0.224384,-0.728612,0.0661815,0.025,0.359574
-0.232515,-0.72462,0.0192194,0.0125,0.359574
-0.24214,-0.767148,0.0532036,0.0225,0.359574
-0.223878,-0.768354,0.018797,0.0175,0.359574
-0.182201,-0.741243,0.0170793,0.0175,0.359574
-0.0940037,-0.529528,0.0452337,0.045,0.144176
-0.101997,-0.557294,0.0248592,0.025,0.144176
