X,Y,Z,r,absv
-0.944134,-0.483791,0.0446692,0.045,0.000553485
-0.955274,-0.511546,0.0258129,0.025,0.000553485
-0.925682,-0.519149,0.0626098,0.0125,0.000553485
-0.977694,-0.500415,0.0624488,0.0225,0.000553485
-0.947207,-0.484673,0.080929,0.0175,0.000553485
-0.910721,-0.469707,0.050602,0.0175,0.000553485
-0.779289,-0.553882,0.0483913,0.045,0.000904825
-0.801461,-0.539862,0.0246879,0.025,0.000904825
-0.755402,-0.544973,0.0128594,0.0125,0.000904825
-0.793658,-0.583516,0.0232099,0.0225,0.000904825
-0.757797,-0.581483,0.0383298,0.0175,0.000904825
-0.749564,-0.540553,0.0653846,0.0175,0.000904825
-0.673881,-0.628384,0.0445375,0.045,0.00275631
-0.64028,-0.62649,0.0337022,0.025,0.00275631
-0.649694,-0.646872,0.0759332,0.0125,0.00275631
-0.663339,-0.663378,0.0249663,0.0225,0.00275631
-0.687064,-0.66041,0.055741,0.0175,0.00275631
-0.691367,-0.614158,0.0735525,0.0175,0.00275631
-0.529607,-0.634295,0.0491934,0.045,0.00171501
-0.551661,-0.607763,0.0414686,0.025,0.00171501
-0.515154,-0.616657,0.0118771,0.0125,0.00171501
-0.559395,-0.647651,0.0236389,0.0225,0.00171501
-0.522142,-0.659094,0.0236142,0.0175,0.00171501
-0.493643,-0.635206,0.0566623,0.0175,0.00171501
-0.449626,-0.585071,0.0446005,0.045,0.00401372
-0.460536,-0.553281,0.0555715,0.025,0.00401372
-0.450133,-0.586565,0.0883041,0.0125,0.00401372
-0.416925,-0.560807,0.0523878,0.0225,0.00401372
-0.419212,-0.599183,0.0587715,0.0175,0.00401372
-0.46376,-0.618768,0.0484326,0.0175,0.00401372
-0.378376,-0.671055,0.044754,0.045,0.00297858
-0.386011,-0.662331,0.0781547,0.025,0.00297858
-0.352464,-0.637339,0.0549695,0.0125,0.00297858
-0.406789,-0.64087,0.0453452,0.0225,0.00297858
-0.378091,-0.645027,0.0193087,0.0175,0.00297858
-0.347602,-0.683186,0.0287599,0.0175,0.00297858
-0.292377,-0.725215,0.0479097,0.045,0.00402582
-0.304192,-0.692821,0.0557227,0.025,0.00402582
-0.286112,-0.700804,0.0121695,0.0125,0.00402582
-0.331791,-0.721208,0.0356928,0.0225,0.00402582
-0.303901,-0.741349,0.0173827,0.0175,0.00402582
-0.259123,-0.737897,0.0387826,0.0175,0.00402582
-0.120174,-0.547371,0.0446777,0.045,0.00091183
-0.0893593,-0.551646,0.0278803,0.025,0.00091183
-0.0916246,-0.520604,0.0641951,0.0125,0.00091183
-0.0971123,-0.575614,0.0644068,0.0225,0.00091183
-0.120975,-0.549651,0.080998,0.0175,0.00091183
-0.142313,-0.518333,0.048766,0.0175,0.00091183
-0.865297,-0.313034,0.0445471,0.045,0.000877878
-0.890033,-0.333821,0.0589023,0.025,0.000877878
-0.847796,-0.329754,0.0809701,0.0125,0.000877878
-0.887075,-0.291746,0.0726771,0.0225,0.000877878
-0.848981,-0.288015,0.0653515,0.0175,0.000877878
-0.831707,-0.319999,0.0313867,0.0175,0.000877878
-0.716975,-0.406031,0.0446739,0.045,0.000643912
-0.746888,-0.396673,0.0283132,0.025,0.000643912
-0.728113,-0.439676,0.0190525,0.0125,0.000643912
-0.7497,-0.419964,0.0659746,0.0225,0.000643912
-0.715477,-0.438128,0.0617776,0.0175,0.000643912
-0.683438,-0.414266,0.0321279,0.0175,0.000643912
-0.661688,-0.477989,0.0504713,0.045,0.000558553
-0.672841,-0.456513,0.024696,0.025,0.000558553
-0.635618,-0.485297,0.0161278,0.0125,0.000558553
-0.688508,-0.498005,0.0260007,0.0225,0.000558553
-0.65713,-0.513376,0.0432621,0.0175,0.000558553
-0.629831,-0.480409,0.068617,0.0175,0.000558553
-0.573579,-0.461432,0.0485649,0.045,0.000537632
-0.547749,-0.457844,0.0246911,0.025,0.000537632
-0.538846,-0.482594,0.0646374,0.0125,0.000537632
-0.573337,-0.494054,0.0229806,0.0225,0.000537632
-0.581612,-0.494665,0.0610581,0.0175,0.000537632
-0.576652,-0.450556,0.0835256,0.0175,0.000537632
-0.389552,-0.400617,0.0547943,0.045,0.00358464
-0.392533,-0.382375,0.0246551,0.025,0.00358464
-0.362281,-0.419387,0.0262208,0.0125,0.00358464
-0.41743,-0.41871,0.0300109,0.0225,0.00358464
-0.392553,-0.436882,0.0538793,0.0175,0.00358464
-0.361309,-0.406287,0.0776012,0.0175,0.00358464
-0.383515,-0.501538,0.049386,0.045,0.00118897
-0.371373,-0.523955,0.0248896,0.025,0.00118897
-0.379598,-0.478523,0.0124069,0.0125,0.00118897
-0.342167,-0.499275,0.0473995,0.0225,0.00118897
-0.366592,-0.46966,0.0541175,0.0175,0.00118897
-0.414676,-0.482247,0.0520071,0.0175,0.00118897
-0.161277,-0.363801,0.0447969,0.045,0.00456922
-0.149836,-0.390757,0.0249862,0.025,0.00456922
-0.117718,-0.360299,0.0431031,0.0125,0.00456922
-0.151155,-0.395871,0.0690413,0.0225,0.00456922
-0.146115,-0.358143,0.0774024,0.0175,0.00456922
-0.159205,-0.327361,0.0405771,0.0175,0.00456922
-0.888422,-0.211197,0.0447416,0.045,0.000573155
-0.897523,-0.242562,0.0582848,0.025,0.000573155
-0.85156,-0.229408,0.0596421,0.0125,0.000573155
-0.895288,-0.207562,0.085465,0.0225,0.000573155
-0.868335,-0.188429,0.0648199,0.0175,0.000573155
-0.866383,-0.201709,0.0169156,0.0175,0.000573155
-0.721594,-0.273633,0.0445833,0.045,0.00103508
-0.7565,-0.279249,0.0447119,0.025,0.00103508
-0.729299,-0.304332,0.0144057,0.0125,0.00103508
-0.730721,-0.305359,0.0696613,0.0225,0.00103508
-0.699094,-0.302134,0.047121,0.0175,0.00103508
-0.698607,-0.261298,0.0187099,0.0175,0.00103508
-0.631208,-0.287472,0.0444918,0.045,0.000786227
-0.655643,-0.309084,0.0308586,0.025,0.000786227
-0.610298,-0.313592,0.0163318,0.0125,0.000786227
-0.632479,-0.322816,0.0661233,0.0225,0.000786227
-0.600664,-0.301744,0.058216,0.0175,0.000786227
-0.609298,-0.262182,0.0293134,0.0175,0.000786227
-0.541343,-0.286819,0.0460072,0.045,0.000800121
-0.527719,-0.311494,0.0246644,0.025,0.000800121
-0.521629,-0.316046,0.0718839,0.0125,0.000800121
-0.568032,-0.318278,0.0419165,0.0225,0.000800121
-0.561973,-0.297212,0.0741383,0.0175,0.000800121
-0.525918,-0.263237,0.0695864,0.0175,0.000800121
-0.455499,-0.327748,0.0446482,0.045,0.00175022
-0.442387,-0.296687,0.0340047,0.025,0.00175022
-0.425734,-0.316012,0.0744617,0.0125,0.00175022
-0.421091,-0.333822,0.0223322,0.0225,0.00175022
-0.432509,-0.35463,0.0532424,0.0175,0.00175022
-0.4741,-0.337766,0.074709,0.0175,0.00175022
-0.361831,-0.279548,0.0458212,0.045,0.0027829
-0.334179,-0.28492,0.0244553,0.025,0.0027829
-0.326643,-0.26476,0.0671668,0.0125,0.0027829
-0.343862,-0.315816,0.0547945,0.0225,0.0027829
-0.360077,-0.29118,0.0802685,0.0175,0.0027829
-0.376745,-0.249014,0.0597944,0.0175,0.0027829
-0.186996,-0.270681,0.0447712,0.045,0.00747461
-0.214809,-0.248872,0.0456625,0.025,0.00747461
-0.191054,-0.257491,0.0862688,0.0125,0.00747461
-0.17434,-0.231439,0.0404629,0.0225,0.00747461
-0.155516,-0.259793,0.0594489,0.0175,0.00747461
-0.180283,-0.302908,0.061093,0.0175,0.00747461
-0.00137043,-0.269855,0.0447893,0.045,0.0141166
0.0161135,-0.293469,0.0251242,0.025,0.0141166
0.0262944,-0.247047,0.0197505,0.0125,0.0141166
0.0342604,-0.2801,0.0633433,0.0225,0.0141166
0.0175068,-0.244914,0.0634051,0.0175,0.0141166
-0.0239467,-0.242222,0.0360307,0.0175,0.0141166
-0.823838,-0.116055,0.0452833,0.045,0.000921587
-0.828853,-0.145915,0.0635386,0.025,0.000921587
-0.785596,-0.125522,0.0642688,0.0125,0.000921587
-0.833618,-0.107138,0.0845719,0.0225,0.000921587
-0.808701,-0.0874647,0.0619697,0.0175,0.000921587
-0.801867,-0.107708,0.0170417,0.0175,0.000921587
-0.71224,-0.176247,0.0447407,0.045,0.000399063
-0.728914,-0.200672,0.0253649,0.025,0.000399063
-0.682179,-0.206119,0.0339487,0.0125,0.000399063
-0.724878,-0.207368,0.0690412,0.0225,0.000399063
-0.691928,-0.186935,0.0729928,0.0175,0.000399063
-0.684624,-0.153238,0.0371305,0.0175,0.000399063
-0.614265,-0.186611,0.0448914,0.045,0.00105713
-0.588722,-0.206527,0.0307186,0.025,0.00105713
-0.579556,-0.182797,0.0712197,0.0125,0.00105713
-0.61473,-0.224416,0.0619006,0.0225,0.00105713
-0.622498,-0.19084,0.0800957,0.0175,0.00105713
-0.616747,-0.15055,0.0514837,0.0175,0.00105713
-0.507931,-0.203459,0.0469389,0.045,0.000800988
-0.480923,-0.200403,0.024328,0.025,0.000800988
-0.471657,-0.201034,0.0712453,0.0125,0.000800988
-0.492028,-0.240863,0.0387651,0.0225,0.000800988
-0.506425,-0.228887,0.0729418,0.0175,0.000800988
-0.520828,-0.181269,0.0732306,0.0175,0.000800988
-0.403761,-0.182159,0.0448933,0.045,0.00683546
-0.421216,-0.212798,0.0423296,0.025,0.00683546
-0.378639,-0.208745,0.0209216,0.0125,0.00683546
-0.391277,-0.208088,0.074737,0.0225,0.00683546
-0.368978,-0.182474,0.0556204,0.0175,0.00683546
-0.392906,-0.15768,0.0197351,0.0175,0.00683546
-0.30262,-0.202292,0.0448313,0.045,0.00427024
-0.31796,-0.227331,0.0251396,0.025,0.00427024
-0.272489,-0.215603,0.0160651,0.0125,0.00427024
-0.294475,-0.239722,0.0606871,0.0225,0.00427024
-0.270308,-0.209154,0.0601238,0.0175,0.00427024
-0.288584,-0.169379,0.0364823,0.0175,0.00427024
-0.126666,-0.149787,0.0447397,0.045,0.0075344
-0.121952,-0.118528,0.028907,0.025,0.0075344
-0.166031,-0.130837,0.0428005,0.0125,0.0075344
-0.121126,-0.120192,0.0732387,0.0225,0.0075344
-0.144712,-0.151061,0.0763262,0.0175,0.0075344
-0.146229,-0.179494,0.0355304,0.0175,0.0075344
-0.897942,-0.0190849,0.0477581,0.045,0.000742948
-0.900808,-0.0444145,0.0722571,0.025,0.000742948
-0.858222,-0.0237337,0.0654562,0.0125,0.000742948
-0.905251,-0.00210595,0.0848666,0.0225,0.000742948
-0.882538,0.0126232,0.0568318,0.0175,0.000742948
-0.878222,-0.0166658,0.0168503,0.0175,0.000742948
-0.759779,-0.053113,0.044467,0.045,0.000664117
-0.749228,-0.0862937,0.0383247,0.025,0.000664117
-0.720401,-0.0572155,0.0630415,0.0125,0.000664117
-0.770095,-0.0773838,0.0764553,0.0225,0.000664117
-0.758606,-0.0402,0.0784799,0.0175,0.000664117
-0.745997,-0.020526,0.03456,0.0175,0.000664117
-0.667135,-0.0827303,0.044817,0.045,0.000563183
-0.636065,-0.0805503,0.0280863,0.025,0.000563183
-0.647653,-0.0464638,0.0595717,0.0125,0.000563183
-0.637406,-0.100152,0.0678699,0.0225,0.000563183
-0.66792,-0.0798341,0.0810936,0.0175,0.000563183
-0.696635,-0.0608299,0.045187,0.0175,0.000563183
-0.567421,-0.0591841,0.0445976,0.045,0.000623176
-0.574011,-0.0886837,0.0262579,0.025,0.000623176
-0.542728,-0.0905897,0.0623858,0.0125,0.000623176
-0.597188,-0.0811315,0.0633329,0.0225,0.000623176
-0.569477,-0.0601243,0.0809279,0.0175,0.000623176
-0.536825,-0.0394626,0.0495923,0.0175,0.000623176
-0.486197,-0.116184,0.0447378,0.045,0.00260308
-0.458195,-0.107851,0.0248273,0.025,0.00260308
-0.451029,-0.120701,0.070336,0.0125,0.00260308
-0.47014,-0.150476,0.0278573,0.0225,0.00260308
-0.485982,-0.147474,0.0633365,0.0175,0.00260308
-0.500138,-0.101307,0.0753048,0.0175,0.00260308
-0.369813,-0.0779409,0.0448999,0.045,0.0044449
-0.353202,-0.1019,0.0248988,0.025,0.0044449
-0.333177,-0.0886289,0.0662556,0.0125,0.0044449
-0.380216,-0.116182,0.0570701,0.0225,0.0044449
-0.375397,-0.0851457,0.0801406,0.0175,0.0044449
-0.360383,-0.0442486,0.0561202,0.0175,0.0044449
-0.27187,-0.0971718,0.0446415,0.045,0.00693192
-0.293719,-0.124947,0.0457116,0.025,0.00693192
-0.259754,-0.12371,0.0120617,0.0125,0.00693192
-0.254878,-0.12768,0.0669864,0.0225,0.00693192
-0.235951,-0.102968,0.0435372,0.0175,0.00693192
-0.265726,-0.0714859,0.0190976,0.0175,0.00693192
-0.0653086,-0.0456772,0.0446701,0.045,0.00956273
-0.0828184,-0.0741725,0.0332061,0.025,0.00956273
-0.0365124,-0.0696542,0.0221227,0.0125,0.00956273
-0.0604414,-0.0769757,0.0714182,0.0225,0.00956273
-0.0336929,-0.0501972,0.062135,0.0175,0.00956273
-0.0484612,-0.018216,0.0270052,0.0175,0.00956273
-0.837287,0.11116,0.0444241,0.045,0.00106743
-0.841082,0.107456,0.0793795,0.025,0.00106743
-0.796934,0.110723,0.0612742,0.0125,0.00106743
-0.837375,0.14839,0.0626633,0.0225,0.00106743
-0.816184,0.137938,0.0316723,0.0175,0.00106743
-0.821282,0.0901269,0.018901,0.0175,0.00106743
-0.745522,0.0867758,0.0448694,0.045,0.000525753
-0.748495,0.0888893,0.080036,0.025,0.000525753
-0.704829,0.0900292,0.0605559,0.0125,0.000525753
-0.746173,0.126521,0.0566437,0.0225,0.000525753
-0.725371,0.111491,0.0273155,0.0175,0.000525753
-0.729522,0.0621189,0.0228228,0.0175,0.000525753
-0.679882,0.0143566,0.0446892,0.045,0.0010228
-0.658507,-0.0134719,0.0403675,0.025,0.0010228
-0.685987,-0.0114536,0.0794608,0.0125,0.0010228
-0.700493,-0.0165963,0.0263632,0.0225,0.0010228
-0.715027,0.00864592,0.0522546,0.0175,0.0010228
-0.681465,0.0405966,0.0703593,0.0175,0.0010228
-0.554416,0.0489511,0.0445662,0.045,0.00122444
-0.529652,0.039213,0.0678456,0.025,0.00122444
-0.56322,0.0703484,0.081676,0.0125,0.00122444
-0.568161,0.0171762,0.0673737,0.0225,0.00122444
-0.589466,0.0470307,0.0541998,0.0175,0.00122444
-0.563103,0.0814645,0.0298212,0.0175,0.00122444
-0.464658,0.0280352,0.0445728,0.045,0.00119025
-0.451338,-0.00259686,0.0329853,0.025,0.00119025
-0.434985,0.0154709,0.0741388,0.0125,0.00119025
-0.485291,-0.00367403,0.06153,0.0225,0.00119025
-0.4768,0.0302039,0.0788199,0.0175,0.00119025
-0.4494,0.0608701,0.0508232,0.0175,0.00119025
-0.366205,0.0226135,0.0447903,0.045,0.00532861
-0.345998,-0.00474128,0.0351259,0.025,0.00532861
-0.345977,0.00876772,0.0810063,0.0125,0.00532861
-0.386762,-0.0129124,0.0506287,0.0225,0.00532861
-0.388694,0.0188257,0.073161,0.0175,0.00532861
-0.358162,0.0554934,0.0590807,0.0175,0.00532861
-0.132907,0.0190983,0.0446291,0.045,0.00565045
-0.129906,-0.0159969,0.0476823,0.025,0.00565045
-0.106131,0.00613301,0.0125756,0.0125,0.00565045
-0.099532,0.00968156,0.0673489,0.0225,0.00565045
-0.102709,0.0392771,0.0421942,0.0175,0.00565045
-0.146103,0.0405766,0.0178982,0.0175,0.00565045
-0.894047,0.211329,0.0450859,0.045,0.000828263
-0.888313,0.210808,0.0799693,0.025,0.000828263
-0.856315,0.232413,0.0517408,0.0125,0.000828263
-0.908841,0.245987,0.0623698,0.0225,0.000828263
-0.892066,0.243037,0.0273178,0.0175,0.000828263
-0.875303,0.197413,0.0167131,0.0175,0.000828263
-0.787217,0.201423,0.0445356,0.045,0.0010375
-0.789696,0.216764,0.0762926,0.025,0.0010375
-0.786843,0.244582,0.0374918,0.0125,0.0010375
-0.826895,0.20983,0.053122,0.0225,0.0010375
-0.809965,0.211783,0.0180746,0.0175,0.0010375
-0.761154,0.202185,0.0186487,0.0175,0.0010375
-0.6869,0.242516,0.0453501,0.045,0.000515072
-0.701053,0.271924,0.0589452,0.025,0.000515072
-0.693585,0.269705,0.0117561,0.0125,0.000515072
-0.728264,0.240512,0.043402,0.0225,0.000515072
-0.703225,0.226499,0.017031,0.0175,0.000515072
-0.655525,0.236205,0.0273014,0.0175,0.000515072
-0.586173,0.226727,0.04461,0.045,0.00094297
-0.57625,0.237218,0.0768818,0.025,0.00094297
-0.550051,0.250787,0.0392383,0.0125,0.00094297
-0.60195,0.264186,0.0527778,0.0225,0.00094297
-0.589323,0.251526,0.0181505,0.0175,0.00094297
-0.569771,0.205793,0.019258,0.0175,0.00094297
-0.492657,0.211929,0.0447769,0.045,0.00193989
-0.501626,0.220939,0.0777676,0.025,0.00193989
-0.459794,0.236228,0.0603362,0.0125,0.00193989
-0.511283,0.248967,0.0447538,0.0225,0.00193989
-0.481903,0.23791,0.0216602,0.0175,0.00193989
-0.464793,0.192185,0.0312217,0.0175,0.00193989
-0.390405,0.149662,0.0445442,0.045,0.00134871
-0.392736,0.114878,0.0386566,0.025,0.00134871
-0.373879,0.129987,0.0799317,0.0125,0.00134871
-0.425536,0.134881,0.0608566,0.0225,0.00134871
-0.403312,0.16321,0.0757665,0.0175,0.00134871
-0.361721,0.171985,0.0499184,0.0175,0.00134871
-0.30611,0.0957756,0.0446596,0.045,0.00470889
-0.294995,0.128737,0.0383327,0.025,0.00470889
-0.339355,0.116536,0.0252604,0.0125,0.00470889
-0.317359,0.120717,0.0758069,0.0225,0.00470889
-0.337923,0.0908001,0.0616354,0.0175,0.00470889
-0.316874,0.068588,0.0224113,0.0175,0.00470889
-0.0513191,0.174212,0.0449038,0.045,0.00238792
-0.0273222,0.15623,0.0261738,0.025,0.00238792
-0.0377838,0.20104,0.0131306,0.0125,0.00238792
-0.0132398,0.18248,0.0590584,0.0225,0.00238792
-0.0430018,0.207548,0.0569247,0.0175,0.00238792
-0.0839608,0.188556,0.0360287,0.0175,0.00238792
-0.83748,0.401118,0.0447445,0.045,0.000236171
-0.831204,0.427356,0.0675959,0.025,0.000236171
-0.799509,0.391691,0.064286,0.0125,0.000236171
-0.813592,0.429956,0.0269534,0.0225,0.000236171
-0.811356,0.391461,0.021308,0.0175,0.000236171
-0.842866,0.365063,0.0493309,0.0175,0.000236171
-0.727875,0.35801,0.0448408,0.045,0.000212354
-0.721734,0.383996,0.0680151,0.025,0.000212354
-0.717504,0.393382,0.0213085,0.0125,0.000212354
-0.762415,0.380174,0.0507169,0.0225,0.000212354
-0.750797,0.364017,0.0172095,0.0175,0.000212354
-0.706507,0.341521,0.0199107,0.0175,0.000212354
-0.641159,0.331617,0.0449095,0.045,0.00123364
-0.647359,0.346814,0.0762243,0.025,0.00123364
-0.602686,0.346773,0.0591427,0.0125,0.00123364
-0.647812,0.372224,0.0398529,0.0225,0.00123364
-0.622862,0.350233,0.0195392,0.0175,0.00123364
-0.620362,0.303004,0.0349707,0.0175,0.00123364
-0.496508,0.38033,0.0448704,0.045,0.00123611
-0.484037,0.40024,0.0712914,0.025,0.00123611
-0.47741,0.415005,0.0262849,0.0125,0.00123611
-0.524297,0.409371,0.0550269,0.0225,0.00123611
-0.51706,0.395904,0.0191794,0.0175,0.00123611
-0.479954,0.362831,0.0171263,0.0175,0.00123611
-0.410128,0.338599,0.044486,0.045,0.00195824
-0.422588,0.363766,0.0659664,0.025,0.00195824
-0.376205,0.352358,0.0684116,0.0125,0.00195824
-0.404626,0.375901,0.0272513,0.0225,0.00195824
-0.380441,0.345461,0.0245711,0.0175,0.00195824
-0.394812,0.305845,0.0510104,0.0175,0.00195824
-0.324029,0.292524,0.0446043,0.045,0.00259165
-0.328604,0.314264,0.0721081,0.025,0.00259165
-0.285954,0.293472,0.0660955,0.0125,0.00259165
-0.311757,0.330827,0.0345501,0.0225,0.00259165
-0.29538,0.297505,0.022709,0.0175,0.00259165
-0.315992,0.256739,0.0424131,0.0175,0.00259165
-0.147871,0.210336,0.0470352,0.045,0.00188935
-0.166111,0.180962,0.0544173,0.025,0.00188935
-0.134726,0.180067,0.0183381,0.0125,0.00188935
-0.125961,0.186129,0.0725844,0.0225,0.00188935
-0.111657,0.208348,0.0439405,0.0175,0.00188935
-0.146481,0.231769,0.0172245,0.0175,0.00188935
-0.941408,0.466825,0.0448828,0.045,0.000485305
-0.92186,0.467682,0.07433,0.025,0.000485305
-0.89985,0.46161,0.032304,0.0125,0.000485305
-0.927626,0.505345,0.0515916,0.0225,0.000485305
-0.932159,0.488184,0.0168968,0.0175,0.000485305
-0.946922,0.440752,0.019588,0.0175,0.000485305
-0.765438,0.501607,0.048748,0.045,0.000689832
-0.761242,0.527211,0.0247313,0.025,0.000689832
-0.751786,0.482066,0.0120838,0.0125,0.000689832
-0.799896,0.505464,0.0260205,0.0225,0.000689832
-0.785103,0.472242,0.0400298,0.0175,0.000689832
-0.741887,0.477896,0.0640177,0.0175,0.000689832
-0.68401,0.549115,0.048172,0.045,0.000575701
-0.696238,0.573903,0.0261256,0.025,0.000575701
-0.659448,0.546768,0.0120648,0.0125,0.000575701
-0.711877,0.532553,0.0223294,0.0225,0.000575701
-0.679803,0.515092,0.0359351,0.0175,0.000575701
-0.651404,0.54436,0.0644289,0.0175,0.000575701
-0.597612,0.573551,0.044735,0.045,0.000239578
-0.577183,0.59478,0.064279,0.025,0.000239578
-0.566096,0.548334,0.0615666,0.0125,0.000239578
-0.565594,0.587089,0.0221447,0.0225,0.000239578
-0.582008,0.551804,0.0200663,0.0175,0.000239578
-0.618327,0.544425,0.0532543,0.0175,0.000239578
-0.510725,0.613541,0.0516729,0.045,0.000931734
-0.538982,0.624618,0.0335394,0.025,0.000931734
-0.495405,0.634926,0.016738,0.0125,0.000931734
-0.520395,0.585928,0.0222996,0.0225,0.000931734
-0.484493,0.595368,0.0341615,0.0175,0.000931734
-0.483346,0.631564,0.0682722,0.0175,0.000931734
-0.358619,0.52968,0.048645,0.045,0.00145534
-0.347504,0.556116,0.0279659,0.025,0.00145534
-0.343195,0.511188,0.0121394,0.0125,0.00145534
-0.388761,0.540756,0.0224239,0.0225,0.00145534
-0.381046,0.5046,0.0347527,0.0175,0.00145534
-0.34109,0.501392,0.0642172,0.0175,0.00145534
-0.288111,0.474046,0.0449314,0.045,0.00118035
-0.296677,0.499996,0.0673641,0.025,0.00118035
-0.250458,0.49209,0.0579389,0.0125,0.00118035
-0.290701,0.510064,0.0245661,0.0225,0.00118035
-0.265451,0.481264,0.0173739,0.0175,0.00118035
-0.26875,0.4431,0.049117,0.0175,0.00118035
-0.187295,0.478382,0.0477371,0.045,0.00175186
-0.201291,0.510825,0.048985,0.025,0.00175186
-0.172941,0.499427,0.0121902,0.0125,0.00175186
-0.222585,0.479405,0.0260047,0.0225,0.00175186
-0.190674,0.458834,0.0172174,0.0175,0.00175186
-0.152578,0.466367,0.0483131,0.0175,0.00175186
-0.856595,-0.502079,0.0535297,0.045,0.00166508
-0.836478,-0.504247,0.0245369,0.025,0.00166508
