point_x,point_y,point_z,force_x,force_y,force_z
0.294196,-0.557291,0.278137,-162.986,-31.2545,-29.1473
0.262682,0.542321,0.212463,117.132,-15.1051,-20.4592
0.26333,0.539838,0.210162,22.0482,0.714435,-6.74343
0.254315,-0.273949,0.242189,-11.2159,2.57681,1.52497
0.314562,0.488882,0.205785,-93.0943,15.3277,-46.9527
0.311677,0.515839,0.216034,-115.35,28.1639,-45.6453
0.31619,0.296678,0.2,-9.34251,-1.22226,4.64174
0.31619,0.296678,0.2,-9.34251,-1.22226,4.64174
0.219179,0.394473,0.567785,-14.8738,6.03854,-9.31958
0.270871,0.757712,0.363052,-8.83924,-1.08847,1.72349
0.31619,-0.682931,0.2,-543.431,-126.378,402.813
0.31619,-0.682931,0.2,-543.431,-126.378,402.813
0.266863,0.111541,0.378344,-17.8158,5.17595,-13.9811
0.259587,0.565757,0.406106,-19.4601,-6.05186,-14.9781
0.230383,0.621101,0.521614,-35.7069,5.20907,-5.59078
0.229028,0.57718,0.527199,-28.5458,4.01253,-14.8528
0.29665,0.748382,0.26942,-7.49547,2.92912,-4.32533
0.245836,0.778318,0.458577,-25.6532,6.09177,-20.9669
0.283413,-0.162927,0.316443,-67.3922,-18.8905,6.39487
0.23266,0.135339,0.512227,-43.4152,1.20983,-13.8279
0.279012,0.658693,0.33208,-8.74853,-1.14186,-2.59312
0.264594,-0.863,0.387,-53.9413,7.78652,-21.0129
0.264467,-0.863518,0.387485,-59.2873,-9.61918,-8.1481
0.235604,-0.663514,0.500096,-1.67262,0.755334,-0.95613
0.237896,-0.251897,0.49065,-27.085,-10.5095,0.707852
0.237896,-0.25,0.49065,-6.19738,-0.334179,-1.70911
0.231521,-0.337571,0.516925,-16.2712,-8.04305,-7.64032
0.31619,0.0341537,0.2,-67.7881,-8.34198,-15.434
0.31619,0.0341537,0.2,-67.7881,-8.34198,-15.434
0.263169,-0.177814,0.392441,-104.939,-24.4623,15.8909
0.2282,-0.0695882,0.53061,-4.50033,-0.315868,-2.18347
0.235953,-0.049296,0.498658,-23.909,-0.0039642,-20.2081
0.300144,0.132595,0.257007,-643.717,-116.625,99.9321
0.31261,0.13873,0.212719,-85.4951,-35.4933,-2.18974
0.284885,0.448008,0.311216,-22.9764,-7.24955,-18.3537
0.290484,0.406713,0.291322,-13.9688,-7.29283,-5.77471
0.255132,0.66576,0.423108,-25.718,0.717981,-22.5344
0.281835,-0.869913,0.322049,-19.2801,3.45584,-12.4451
0.284972,-0.600182,0.310907,-7.52414,-0.953081,-5.82178
0.273219,-0.612656,0.354091,-23.5829,-4.01114,-19.9805
0.251036,-0.107106,0.438737,-6.71142,1.56077,-1.84971
0.244434,0.0562065,0.463928,-23.2965,4.94388,2.75004
0.272148,0.20889,0.358176,-74.2413,-16.8638,-36.7535
0.229023,-0.541295,0.527217,-7.51226,-1.25447,-6.13419
0.284726,-0.783333,0.31178,-30.7566,-1.01213,-2.43266
0.284726,-0.785382,0.31178,-45.0342,12.4107,-1.44261
0.281797,-0.298548,0.322184,-40.8901,2.57374,-21.5124
0.253465,-0.641596,0.429466,-28.6337,3.61053,-24.4163
0.31619,-0.209435,0.2,-354.864,-22.5103,156.806
0.31619,-0.209435,0.2,-354.864,-22.5103,156.806
0.31619,-0.196042,0.2,-117.014,0.104935,67.9119
0.31619,-0.196042,0.2,-117.014,0.104935,67.9119
0.284582,-0.061288,0.312291,-171.504,-16.6968,30.7376
0.242158,0.322898,0.473087,-18.1983,-6.75956,-12.4231
0.254487,0.346869,0.425566,-70.8361,20.1262,-42.6097
0.255335,0.406214,0.422332,-8.78531,-0.882828,-5.27628
0.246216,0.228159,0.457129,-21.1147,4.97649,-17.2774
0.284384,0.833644,0.312995,-11.1495,-0.0785612,-9.32126
0.306406,0.947991,0.234759,-21.1443,0.16115,-18.7654
0.303014,0.672866,0.246808,-8.38736,-0.113859,-5.33848
0.239824,0.95,0.482705,-25.5231,3.48168,-9.15676
0.239824,0.95,0.482705,-25.5231,3.48168,-9.15676
0.257723,-0.741005,0.413219,-4.93346,0.62796,-1.8977
0.309481,-0.783333,0.223836,-49.5236,-18.9875,-14.2374
0.309481,-0.788227,0.223836,-133.538,28.6326,-106.865
0.289693,-0.691274,0.294133,-14.1596,-2.98159,-11.1804
0.278123,-0.492064,0.335377,-16.9278,-4.85051,-13.331
0.278659,-0.390112,0.333333,-28.5052,6.78272,-3.04484
0.279599,-0.390112,0.329992,-77.6884,2.53639,14.6536
0.298369,-0.368644,0.263312,-65.5743,-24.1313,2.06658
0.312133,-0.387923,0.214414,-23.0517,8.23314,-17.5698
0.248374,-0.416192,0.448894,-15.8491,-7.5783,-8.71795
0.242823,-0.425949,0.470349,-13.1406,3.51133,-1.53679
0.25405,-0.503718,0.427236,-55.2613,-18.0303,-3.61039
0.236682,-0.122241,0.495656,-5.70917,-0.0224616,-1.11147
0.236911,-0.166531,0.494713,-7.4206,-0.00932748,-0.809265
0.265544,-0.00103013,0.383378,-73.4451,8.31964,10.9916
0.305106,0.226683,0.239376,-11.7947,-0.198678,-2.52219
0.293547,0.586357,0.280441,-14.5797,1.47081,-2.55442
0.292121,0.557773,0.285507,-39.2758,-3.52098,-21.8931
0.273074,0.52568,0.354645,-7.63283,-1.91362,-5.50518
0.312616,0.845317,0.212697,-52.7874,1.6647,-16.9308
0.26532,0.95,0.384232,-11.5494,2.82031,-6.93065
0.26532,0.95,0.384232,-11.5494,2.82031,-6.93065
