X,Y,Z,r,absv
-0.943602,-0.485998,0.0446606,0.045,0.0027016
-0.955324,-0.512832,0.0248472,0.025,0.0027016
-0.926104,-0.522373,0.0614896,0.0125,0.0027016
-0.977642,-0.502374,0.0617425,0.0225,0.0027016
-0.946871,-0.488006,0.0808584,0.0175,0.0027016
-0.909884,-0.472942,0.0511927,0.0175,0.0027016
-0.774047,-0.549531,0.0476837,0.045,0.0064296
-0.796499,-0.536121,0.0238914,0.025,0.0064296
-0.750157,-0.539322,0.0125052,0.0125,0.0064296
-0.786997,-0.579423,0.0220414,0.0225,0.0064296
-0.7514,-0.576172,0.0375657,0.0175,0.0064296
-0.745037,-0.535251,0.0651333,0.0175,0.0064296
-0.670588,-0.627568,0.0441446,0.045,0.00427954
-0.637538,-0.628942,0.0316638,0.025,0.00427954
-0.646781,-0.64829,0.0744157,0.0125,0.00427954
-0.664456,-0.663431,0.0242701,0.0225,0.00427954
-0.686235,-0.658161,0.0561551,0.0175,0.00427954
-0.685165,-0.611698,0.0739048,0.0175,0.00427954
-0.534898,-0.631365,0.0486164,0.045,0.00497393
-0.547321,-0.599115,0.0411582,0.025,0.00497393
-0.514493,-0.618363,0.012187,0.0125,0.00497393
-0.566542,-0.63421,0.0219843,0.0225,0.00497393
-0.534735,-0.656722,0.0225013,0.0175,0.00497393
-0.501267,-0.643625,0.0569014,0.0175,0.00497393
-0.454284,-0.582481,0.0443516,0.045,0.0191484
-0.469273,-0.552055,0.0543294,0.025,0.0191484
-0.458487,-0.584433,0.0878375,0.0125,0.0191484
-0.425014,-0.555128,0.05502,0.0225,0.0191484
-0.423968,-0.593599,0.0611552,0.0175,0.0191484
-0.465225,-0.617464,0.0468977,0.0175,0.0191484
-0.371974,-0.675269,0.0448742,0.045,0.00899888
-0.388169,-0.675805,0.0762977,0.025,0.00899888
-0.355883,-0.641591,0.0676643,0.0125,0.00899888
-0.405125,-0.650386,0.0441249,0.0225,0.00899888
-0.371238,-0.644218,0.0258934,0.0175,0.00899888
-0.336726,-0.678838,0.0351337,0.0175,0.00899888
-0.283911,-0.729168,0.0478868,0.045,0.0128951
-0.317605,-0.718705,0.0501736,0.025,0.0128951
-0.291789,-0.704954,0.0123323,0.0125,0.0128951
-0.308343,-0.755548,0.0272487,0.0225,0.0128951
-0.272292,-0.74476,0.0171152,0.0175,0.0128951
-0.25222,-0.710589,0.0471895,0.0175,0.0128951
-0.143064,-0.533223,0.044713,0.045,0.00502479
-0.113584,-0.545261,0.0293498,0.025,0.00502479
-0.109596,-0.516547,0.067391,0.0125,0.00502479
-0.130232,-0.56771,0.0638119,0.0225,0.00502479
-0.146981,-0.53685,0.0807201,0.0175,0.00502479
-0.156438,-0.49933,0.049449,0.0175,0.00502479
-0.865652,-0.312975,0.0445929,0.045,0.00698414
-0.891685,-0.33281,0.0579653,0.025,0.00698414
-0.850076,-0.330629,0.0814468,0.0125,0.00698414
