X,Y,Z,r,absv
-0.944092,-0.483988,0.0447264,0.045,0.00232828
-0.95541,-0.51163,0.0258101,0.025,0.00232828
-0.925808,-0.519495,0.0625442,0.0125,0.00232828
-0.977717,-0.500477,0.0625079,0.0225,0.00232828
-0.947119,-0.484953,0.080988,0.0175,0.00232828
-0.910594,-0.470103,0.0506504,0.0175,0.00232828
-0.779857,-0.553837,0.0488214,0.045,0.00197751
-0.80168,-0.539921,0.0247368,0.025,0.00197751
-0.755323,-0.544424,0.0138644,0.0125,0.00197751
-0.793339,-0.583472,0.0231551,0.0225,0.00197751
-0.757834,-0.581123,0.0390507,0.0175,0.00197751
-0.750658,-0.540277,0.0665288,0.0175,0.00197751
-0.674782,-0.627961,0.044507,0.045,0.00653165
-0.640957,-0.626556,0.034313,0.025,0.00653165
-0.651438,-0.646535,0.0764853,0.0125,0.00653165
-0.664302,-0.663214,0.0253721,0.0225,0.00653165
-0.688578,-0.659746,0.0556612,0.0175,0.00653165
-0.692646,-0.613325,0.0730843,0.0175,0.00653165
-0.532336,-0.632794,0.0489445,0.045,0.0209566
-0.554103,-0.606717,0.039136,0.025,0.0209566
-0.516025,-0.616355,0.0118475,0.0125,0.0209566
-0.560647,-0.64726,0.0223361,0.0225,0.0209566
-0.523379,-0.658411,0.0246838,0.0175,0.0209566
-0.496815,-0.633169,0.0583321,0.0175,0.0209566
-0.449718,-0.583482,0.0447292,0.045,0.00960126
-0.455996,-0.550089,0.054501,0.025,0.00960126
-0.45051,-0.583324,0.0884539,0.0125,0.00960126
-0.4139,-0.563868,0.0518834,0.0225,0.00960126
-0.421656,-0.601273,0.0595961,0.0175,0.00960126
-0.468526,-0.61466,0.0496462,0.0175,0.00960126
-0.382298,-0.66766,0.0449009,0.045,0.018634
-0.389724,-0.653759,0.0765494,0.025,0.018634
-0.348235,-0.642418,0.0556305,0.0125,0.018634
-0.399957,-0.630446,0.0402107,0.0225,0.018634
-0.371804,-0.645591,0.017922,0.0175,0.018634
-0.355505,-0.689991,0.0333484,0.0175,0.018634
-0.294636,-0.726428,0.0479116,0.045,0.00612119
-0.310806,-0.695983,0.0557619,0.025,0.00612119
-0.291646,-0.701277,0.0122605,0.0125,0.00612119
-0.334183,-0.727821,0.0355482,0.0225,0.00612119
-0.303731,-0.743893,0.017297,0.0175,0.00612119
-0.259924,-0.734405,0.0388841,0.0175,0.00612119
-0.164272,-0.549845,0.0448799,0.045,0.00133273
-0.140153,-0.570725,0.060121,0.025,0.00133273
-0.162933,-0.538447,0.0870795,0.0125,0.00133273
-0.182733,-0.583149,0.0612737,0.0225,0.00133273
-0.197275,-0.547016,0.0599741,0.0175,0.00133273
-0.166213,-0.513424,0.0404367,0.0175,0.00133273
-0.866146,-0.313396,0.0442791,0.045,0.00184164
-0.891638,-0.333734,0.0579362,0.025,0.00184164
-0.849782,-0.330832,0.0808947,0.0125,0.00184164
-0.888007,-0.291861,0.0721556,0.0225,0.00184164
-0.849695,-0.288942,0.0656407,0.0175,0.00184164
-0.83246,-0.321016,0.0317407,0.0175,0.00184164
-0.717437,-0.406325,0.0445108,0.045,0.00903115
-0.747371,-0.397629,0.027828,0.025,0.00903115
-0.727361,-0.440058,0.0185091,0.0125,0.00903115
-0.750057,-0.421264,0.065284,0.0225,0.00903115
-0.71532,-0.438498,0.0614052,0.0175,0.00903115
-0.683537,-0.413591,0.0323453,0.0175,0.00903115
-0.662622,-0.47698,0.0515575,0.045,0.00504352
-0.673139,-0.456571,0.0246711,0.025,0.00504352
-0.634934,-0.484696,0.0185983,0.0125,0.00504352
-0.687897,-0.498371,0.0266096,0.0225,0.00504352
-0.656952,-0.51245,0.0456615,0.0175,0.00504352
-0.631532,-0.478079,0.0711068,0.0175,0.00504352
-0.574573,-0.459218,0.0495024,0.045,0.00819484
-0.549447,-0.456909,0.0247359,0.025,0.00819484
-0.539755,-0.480542,0.0651718,0.0125,0.00819484
-0.575755,-0.492638,0.0249983,0.0225,0.00819484
-0.582834,-0.491868,0.0633135,0.0175,0.00819484
-0.576334,-0.447171,0.0841689,0.0175,0.00819484
-0.40375,-0.402571,0.0546885,0.045,0.00382606
-0.400912,-0.383776,0.0248771,0.025,0.00382606
-0.364892,-0.412665,0.0373489,0.0125,0.00382606
-0.416627,-0.425198,0.0224249,0.0225,0.00382606
-0.397432,-0.438404,0.0536645,0.0175,0.00382606
-0.38415,-0.402793,0.0857656,0.0175,0.00382606
-0.385261,-0.502792,0.0489445,0.045,0.00400722
-0.371089,-0.524465,0.0248724,0.025,0.00400722
