point_x,point_y,point_z,force_x,force_y,force_z
0.216821,0.326633,0.225799,0.917477,0.00490473,-0.0871395
0.171355,0.389419,0.475261,-62.7873,-11.9448,17.1437
0.164235,0.384409,0.518692,-84.1291,-21.908,19.9923
0.172764,0.487909,0.466667,9.25288,2.0131,4.37257
0.173248,0.487909,0.463936,-20.5379,-3.12307,-12.4314
0.181785,-0.823833,0.41572,-45.6224,-18.2241,-24.9088
0.163691,-0.806329,0.522014,17.7934,-0.285131,-4.56682
0.192401,0.118752,0.355757,-5.77115,1.35825,-3.94809
0.188106,0.569708,0.380019,-14.573,-2.79743,3.76602
0.165845,0.623875,0.508873,21.2285,-7.13083,-3.32759
0.211458,0.737336,0.254002,-30.2842,-14.3313,6.19234
0.211815,0.739281,0.252125,-79.476,-6.37265,-52.7624
0.178441,0.790464,0.434607,-12.9008,6.31562,-1.00771
0.18389,0.775108,0.403829,17.616,4.34895,11.4284
0.214411,-0.119849,0.238474,-88.835,-17.126,21.7058
0.214411,-0.116667,0.238474,24.6104,4.44097,7.64809
0.207373,-0.159134,0.275483,-319.932,-32.2336,87.2378
0.172764,0.141684,0.466667,-147.292,-23.2388,-22.0829
0.172428,0.141684,0.468715,-191.25,11.5497,58.7024
0.173355,0.146662,0.463328,55.992,11.4255,-2.47782
0.175168,0.160239,0.453093,-26.9244,-9.84631,-15.7553
0.174877,0.161932,0.454735,10.7021,3.35751,2.07159
0.198533,0.651085,0.321969,-44.382,9.93403,10.2152
0.199126,0.626745,0.318849,40.275,7.51346,-9.06278
0.218774,-0.954031,0.21553,-3081.04,186.927,-412.408
0.221728,-0.954031,0.2,-74.2865,-1.07805,-119.92
0.213624,-0.951167,0.242615,62.9225,6.91039,-3.12331
0.172764,-0.67321,0.466667,-14.2883,-2.61129,5.3619
0.173546,-0.67321,0.462254,-114.968,-18.2137,31.1502
0.173866,-0.65,0.460442,-4.5532,-1.00162,1.27182
0.173866,-0.648784,0.460442,-15.7468,-1.57878,4.51193
0.17343,-0.646241,0.462908,39.1584,-15.1503,19.7634
0.178882,-0.251157,0.432113,3.6584,-0.86052,1.10853
0.178882,-0.25,0.432113,11.0238,3.94994,1.59185
0.168286,-0.340669,0.493983,-32.8239,-14.3056,1.96353
0.221728,0.0349476,0.2,-1250.22,22.6531,410.95
0.221728,0.0349476,0.2,-1250.22,22.6531,410.95
0.218665,0.0166667,0.216103,59.6105,-0.603489,5.7926
0.218665,0.0219179,0.216103,-268.74,123.213,-126.644
0.19973,-0.177384,0.315675,-15.6522,2.67896,3.9563
0.192731,-0.175562,0.353897,-9.27446,3.48792,1.1854
0.220388,0.131297,0.207045,-723.51,59.133,-546.95
0.221728,0.131297,0.2,-267.335,34.4716,-279.365
0.21608,0.149895,0.229697,-169.785,-65.6303,-98.8268
0.21608,0.15,0.229697,-169.388,-61.2538,-102.187
0.221728,0.135053,0.2,-26.825,18.1632,533.285
0.221728,0.135053,0.2,-26.825,18.1632,533.285
0.212175,0.426988,0.250233,-4.147,-0.0955471,-3.16068
0.180516,0.683333,0.422886,-68.2041,-14.1732,3.71689
0.180516,0.684727,0.422886,-92.2533,45.511,-8.49579
0.210203,-0.856062,0.260604,-60.4345,-19.2349,5.21801
0.209882,-0.857808,0.262289,-98.7836,-34.3776,14.1385
0.203409,-0.858571,0.296326,-163.858,-30.3872,40.5262
0.207184,-0.593141,0.276475,-250.119,-94.734,29.2543
0.207057,-0.592445,0.277146,-264.076,-85.1231,43.8187
0.198566,-0.599277,0.321795,-518.309,-78.6913,134.421
0.189523,-0.0784775,0.372016,-22.4543,-4.90905,1.74234
0.189566,-0.0782269,0.371773,-19.1223,7.06299,-8.18335
0.181904,-0.110864,0.415045,-78.2918,-11.4322,9.21032
0.176628,0.0463259,0.444844,-11.8814,5.6875,-4.77387
0.192962,0.211915,0.352593,-396.089,-88.8305,95.6883
0.199933,0.209249,0.314607,-1054.66,328.611,91.2449
0.172764,-0.516667,0.466667,35.8396,14.1806,6.23633
0.172108,-0.516667,0.470672,-35.5161,9.89096,9.61649
0.172108,-0.519646,0.470672,-84.2771,-27.6356,15.4607
0.172764,-0.519646,0.466667,2.86868,0.313541,0.303159
0.172764,-0.516667,0.466667,35.8396,14.1806,6.23633
0.172191,-0.520166,0.470166,-79.4875,-31.6889,7.6185
0.208243,-0.768967,0.270908,-407.915,52.8873,108.44
0.203091,-0.285333,0.298,15.808,2.24315,-1.3732
0.202309,-0.289595,0.302113,-191.144,38.1489,-25.1924
0.198047,-0.27119,0.324525,-24.5665,8.64848,-15.207
0.184713,-0.639542,0.399184,-69.9523,5.21401,20.3628
0.221728,-0.20864,0.2,-349.092,144.135,146.6
0.221728,-0.20864,0.2,-349.092,144.135,146.6
0.221728,-0.196409,0.2,-30.0632,12.5374,180.324
0.221728,-0.196409,0.2,-30.0632,12.5374,180.324
0.217777,-0.197697,0.220772,-635.427,-75.0229,-475.655
0.211193,-0.0433601,0.255397,-1480.79,-289.862,345.292
0.20952,-0.0524739,0.264193,31.2803,-2.70589,10.8598
0.214619,-0.0277047,0.237382,-686.291,-258.629,-55.5083
0.207438,-0.0592746,0.275142,-188.65,66.2776,26.4011
0.179872,0.313465,0.426524,-52.7943,4.26884,15.3157
0.185499,0.357141,0.394739,-4.38535,-1.3934,0.804152
0.178766,0.357292,0.432771,-37.1041,10.8935,7.48867
0.192279,0.449124,0.35645,-2.17436,0.870163,-1.18509
0.186461,0.416667,0.38931,4.27632,1.86691,-0.124516
0.186461,0.417234,0.38931,0.205518,0.0923301,-0.00463408
0.181091,0.231104,0.419639,-108.895,-17.2705,-0.886356
0.196372,0.853953,0.333333,-72.5734,32.9629,-25.8926
0.19622,0.853953,0.33419,-88.5614,23.3253,19.6551
0.214373,0.95,0.238673,-327.16,-229.199,-60.975
0.214373,0.95,0.238673,-327.16,-229.199,-60.975
0.218647,0.95,0.2162,-2.89985,-30.031,-0.693213
0.218647,0.95,0.2162,-2.89985,-30.031,-0.693213
0.210767,0.927442,0.257635,-786.679,-169.282,184.372
0.216547,0.672856,0.227242,-212.267,-29.5068,-11.5603
0.178197,0.95,0.435982,-97.7492,-66.1871,-14.9594
0.178197,0.95,0.435982,-97.7492,-66.1871,-14.9594
0.176101,0.928648,0.44782,-2.76319,-0.51375,0.720856
0.188666,-0.756237,0.376852,-1195.04,201.423,211.368
0.212893,-0.672075,0.246454,-401.737,-14.1479,113.164
0.202649,-0.483657,0.300323,25.7055,-2.09194,12.1779
0.204252,-0.492391,0.291893,-1277.4,31.5928,360.63
0.207303,-0.522598,0.275853,-1490.52,87.4969,416.556
0.207303,-0.516667,0.275853,-691.803,383.374,188.895
0.202213,-0.391933,0.302617,-596.363,57.2509,163.182
0.202213,-0.383333,0.302617,-26.1614,16.6403,3.06798
0.206295,-0.411186,0.281154,-317.01,-51.1756,81.2126
0.196367,-0.948381,0.333357,-537.526,3.3863,157.427
0.196471,-0.948381,0.332811,-526.862,-33.8156,71.0761
0.182599,-0.40055,0.411119,-70.1448,34.4371,-5.82831
0.188056,-0.498157,0.380297,-154.183,5.6636,45.5349
0.1735,-0.152996,0.462513,-89.7906,32.6095,11.2653
0.172764,-0.152996,0.466667,-2.84861,0.267984,1.12246
0.171074,-0.126976,0.476976,-34.0376,17.6876,-1.58498
