point_x,point_y,point_z,force_x,force_y,force_z
-0.285648,0.95,0.29692,16.5699,0.173432,-5.98869
-0.285648,0.95,0.29692,16.5699,0.173432,-5.98869
-0.290776,0.932682,0.278472,27.4128,-9.68946,-20.3707
-0.231394,0.61708,0.506805,14.7688,6.16596,-9.17644
-0.312592,-0.955528,0.2,388.051,40.437,371.307
-0.312592,-0.955528,0.2,388.051,40.437,371.307
-0.263048,-0.776693,0.381535,47.8346,-3.3751,-8.86206
-0.222309,-0.441219,0.544711,5.81862,0.242164,-3.50638
-0.251965,0.850178,0.424357,29.6359,6.97858,-24.0947
-0.253282,0.206654,0.419266,9.50212,1.15061,-2.65254
-0.265533,-0.210716,0.371934,23.8594,2.04392,-7.61022
-0.233007,0.124043,0.500075,20.5788,-7.67728,-5.23862
-0.226496,0.077381,0.527244,45.8253,-20.1193,-3.22791
-0.295087,0.105009,0.262966,9.55827,3.70849,-3.58338
-0.307549,0.914717,0.21814,88.5131,-3.60783,-27.2429
-0.273118,-0.48809,0.342631,151.371,-27.383,-9.16447
-0.277653,-0.505308,0.325676,19.5755,4.81043,-16.1265
-0.28525,-0.130691,0.298349,80.9003,1.70566,-23.4424
-0.230319,0.42192,0.511291,9.44519,0.465866,-6.6787
-0.272842,0.251601,0.343697,37.6159,-19.2648,-15.925
-0.231511,0.928719,0.506315,5.57755,0.515641,-3.36622
-0.235761,-0.821274,0.488585,27.9257,4.03436,-6.8595
-0.245001,-0.474794,0.451259,7.84405,0.465163,-5.9603
-0.295312,-0.610431,0.262156,261.024,50.4714,38.8171
-0.262081,4.12578e-05,0.385273,8.82222,-1.78376,-4.45568
-0.220667,0.277162,0.551565,7.44848,1.70741,-0.0411859
-0.288501,0.322618,0.286655,126.77,37.3076,1.96552
-0.284808,0.631465,0.29994,24.0472,9.1477,-13.5071
-0.241013,-0.974807,0.466667,15.9557,-1.95759,-3.81445
-0.240727,-0.974807,0.46786,19.3562,-3.14547,-13.6097
-0.226206,-0.89586,0.528453,53.0947,-3.48755,-44.3886
-0.235366,-0.607982,0.490231,27.429,-10.6527,-14.7036
-0.237629,-0.056088,0.48079,29.1711,12.777,-8.58701
-0.26442,-0.131374,0.376234,22.9702,-3.82854,-19.3663
-0.249321,0.326933,0.434572,119.646,19.9879,-46.201
-0.284054,0.491449,0.302653,60.4535,1.90646,-54.5662
-0.266709,-0.955139,0.367392,33.6004,0.84252,-29.2662
-0.248434,-0.692389,0.437996,42.0814,-10.238,-22.1348
-0.298988,-0.354142,0.248934,96.2001,-7.69076,-21.3865
-0.227286,-0.351084,0.523946,4.89748,0.680335,-3.8386
-0.248126,-0.318214,0.439187,61.7149,-4.02767,-51.633
-0.237372,-0.00871387,0.481859,8.88242,-0.111825,-7.4123
-0.239153,-0.168949,0.474431,10.5885,3.43975,0.364921
-0.307632,-0.180318,0.217842,325.522,-4.26265,-38.7274
-0.215898,0.462373,0.571463,16.5459,4.17581,-12.0559
-0.206636,0.443705,0.61099,6.15222,0.531609,-4.19592
-0.299414,0.416651,0.247403,5.2276,-0.0568582,-4.72309
-0.299414,0.416667,0.247403,5.21374,-0.056477,-4.71051
-0.302986,0.567294,0.234552,23.2398,10.8827,-13.9652
-0.266754,0.821199,0.36722,37.9661,-5.76689,-21.6029
-0.303141,0.825944,0.233997,29.7347,-3.91259,-20.168
-0.281456,-0.845702,0.311996,13.2352,-2.66004,-9.07073
-0.300355,-0.820354,0.244018,10.5495,0.444973,-7.82037
-0.269546,-0.690711,0.356432,21.9905,10.9742,-10.6531
-0.229937,-0.748761,0.512884,21.2963,1.1223,-13.499
-0.294314,-0.715747,0.265747,17.2738,-0.301675,-14.5077
-0.294721,-0.717322,0.264284,33.0807,9.02968,-27.2327
-0.256635,-0.403499,0.406312,125.123,-11.8502,-13.6396
-0.213647,-0.311738,0.580857,8.23241,-0.235551,-6.91145
-0.261068,0.122049,0.389185,13.9496,-6.72269,-4.42464
-0.286146,0.043509,0.295125,68.4805,15.4242,-54.2197
-0.285889,0.0679492,0.29605,41.6116,7.81108,6.54884
-0.301769,0.23732,0.23893,143.902,19.8157,-53.0901
-0.298696,0.192545,0.249984,60.7027,-15.4601,7.47783
-0.274834,0.401157,0.335999,11.8191,2.35962,-6.29335
-0.269306,0.569126,0.357358,40.9118,-0.285823,-35.6582
-0.24642,0.70994,0.445777,6.73452,-0.180929,-3.88031
-0.238884,0.755052,0.475552,22.1837,4.22657,-8.00466
-0.257504,0.34374,0.218302,-19.2866,8.50057,12.5648
-0.256483,0.246766,0.221972,-192.756,57.9994,98.6727
