point_x,point_y,point_z,force_x,force_y,force_z
-0.2077,-0.194324,0.333489,27.0662,-3.69307,-11.2282
-0.207765,-0.194324,0.333159,27.389,-3.75766,-11.3924
-0.195227,0.809723,0.399562,27.9903,-0.159701,0.384108
-0.20523,0.191422,0.346574,27.9921,2.91076,-2.23058
-0.186653,0.384828,0.444978,28.6783,-0.372079,-11.1346
-0.192977,-0.259573,0.411477,29.5423,-0.00143394,-15.6388
-0.192996,0.946029,0.411378,31.4549,2.31934,-20.1234
-0.20821,-0.849479,0.330965,42.6746,4.30828,-32.9351
-0.190657,-0.688092,0.423769,78.0231,-23.973,-51.155
-0.225053,0.0864136,0.247902,51.2037,3.17877,-9.90222
-0.197715,0.268391,0.38638,30.989,0.559688,-14.4357
-0.233951,-0.116667,0.204021,26.7737,-10.3762,1.10609
-0.233951,-0.117199,0.204021,42.0534,-16.373,1.83547
-0.217569,0.304011,0.284811,13.777,-2.42887,-9.77299
-0.191512,0.743135,0.419238,48.0167,6.06017,-19.7782
-0.189127,-0.582949,0.431869,53.2212,14.4619,-25.5468
-0.182494,-0.429367,0.46703,23.0584,4.1308,-10.8681
-0.182558,-0.429367,0.466667,6.28406,1.86354,-4.24625
-0.225429,0.422138,0.246046,35.1865,-9.40742,-22.355
-0.21541,-0.379605,0.295458,46.6201,2.84013,-26.8556
-0.199119,-0.344488,0.378942,73.1162,8.88376,-54.516
-0.176273,0.291871,0.241884,-3.7821,1.5155,2.21002
-0.222892,0.55,0.2,-0.290782,11.434,26.094
-0.222892,0.55127,0.2,0.295873,14.7527,30.9001
-0.181495,0.143745,0.216133,-155.985,-16.1059,51.9568
-0.181495,0.15,0.216133,45.251,14.2909,-8.344
-0.179815,0.853764,0.224418,-230.471,79.7611,44.5857
-0.184766,0.00568981,0.2,-138.795,-19.6999,387.852
-0.184766,0.00568981,0.2,-138.795,-19.6999,387.852
-0.180221,0.740372,0.222417,-151.107,-33.9517,91.857
-0.184766,0.763275,0.2,55.5211,0.396538,-19.4587
-0.183848,0.763275,0.204528,-36.5024,-2.0913,19.2702
-0.184766,-0.383333,0.2,44.2282,-2.49043,6.39453
-0.184766,-0.377143,0.2,-140.551,58.9256,90.1622
-0.184766,-0.377143,0.2,-140.551,58.9256,90.1622
-0.184766,-0.383333,0.2,44.2282,-2.49043,6.39453
-0.184766,-0.383333,0.2,44.2282,-2.49043,6.39453
-0.184366,-0.381361,0.201973,8.70255,1.30248,0.397839
-0.184766,-0.383333,0.2,44.2282,-2.49043,6.39453
-0.184766,-0.352124,0.2,34.948,3.30253,-9.62004
-0.184766,-0.352124,0.2,34.948,3.30253,-9.62004
-0.178769,-0.364649,0.229577,-233.96,49.5051,172.009
-0.184766,-0.669477,0.2,-10.2888,2.93738,28.4479
-0.184766,-0.669477,0.2,-10.2888,2.93738,28.4479
-0.184766,-0.65,0.2,34.6227,-9.84785,-13
-0.184766,-0.65,0.2,34.6227,-9.84785,-13
-0.184766,-0.645842,0.2,-76.0036,38.1524,14.1471
-0.184766,-0.65,0.2,34.6227,-9.84785,-13
-0.184766,-0.65,0.2,34.6238,-9.84873,-12.9964
-0.184766,-0.645842,0.2,-76.1806,38.0441,13.4707
