X,Y,Z,r,absv
-0.944155,-0.483991,0.0446663,0.045,0.00199732
-0.955523,-0.511584,0.0257093,0.025,0.00199732
-0.925983,-0.519563,0.0624685,0.0125,0.00199732
-0.977843,-0.500411,0.0623935,0.0225,0.00199732
-0.947225,-0.484984,0.0809235,0.0175,0.00199732
-0.910628,-0.470198,0.0506418,0.0175,0.00199732
-0.780115,-0.553849,0.0487642,0.045,0.00941366
-0.801943,-0.540019,0.0246341,0.025,0.00941366
-0.755489,-0.54403,0.0139845,0.0125,0.00941366
-0.793182,-0.583481,0.0228801,0.0225,0.00941366
-0.757785,-0.580878,0.0389745,0.0175,0.00941366
-0.751139,-0.540103,0.0666928,0.0175,0.00941366
-0.674953,-0.628325,0.0444479,0.045,0.00507812
-0.641091,-0.626838,0.0343897,0.025,0.00507812
-0.651725,-0.647144,0.0763666,0.0125,0.00507812
-0.664399,-0.663427,0.0250782,0.0225,0.00507812
-0.688786,-0.660196,0.0553037,0.0175,0.00507812
-0.692923,-0.613912,0.0730721,0.0175,0.00507812
-0.53304,-0.632346,0.0490475,0.045,0.0101943
-0.554796,-0.606474,0.0386872,0.025,0.0101943
-0.51633,-0.616225,0.0119884,0.0125,0.0101943
-0.560944,-0.647221,0.0222365,0.0225,0.0101943
-0.52366,-0.658175,0.0251756,0.0175,0.0101943
-0.49764,-0.632458,0.0588891,0.0175,0.0101943
-0.45036,-0.58331,0.0447025,0.045,0.0160775
-0.45653,-0.549841,0.0542812,0.025,0.0160775
-0.451826,-0.583017,0.0884091,0.0125,0.0160775
-0.414507,-0.563952,0.0523534,0.0225,0.0160775
-0.42267,-0.601273,0.0600516,0.0175,0.0160775
-0.469483,-0.614328,0.0494169,0.0175,0.0160775
-0.383399,-0.6675,0.0449095,0.045,0.00778151
-0.391723,-0.65357,0.0763206,0.025,0.00778151
-0.349825,-0.641941,0.0564004,0.0125,0.00778151
-0.401247,-0.630449,0.0396667,0.0225,0.00778151
-0.372425,-0.645422,0.0181297,0.0175,0.00778151
-0.356142,-0.689638,0.0340943,0.0175,0.00778151
-0.29463,-0.726377,0.0479422,0.045,0.00321277
-0.310831,-0.695951,0.0558034,0.025,0.00321277
-0.291756,-0.701249,0.0122655,0.0125,0.00321277
-0.334201,-0.727841,0.0356637,0.0225,0.00321277
-0.303762,-0.743879,0.0173602,0.0175,0.00321277
-0.259925,-0.734306,0.0388471,0.0175,0.00321277
-0.164256,-0.549846,0.0448685,0.045,0.0064288
-0.14016,-0.570751,0.0601114,0.025,0.0064288
-0.162911,-0.538453,0.0870692,0.0125,0.0064288
-0.182752,-0.583133,0.0612571,0.0225,0.0064288
-0.197258,-0.546986,0.0599583,0.0175,0.0064288
-0.16616,-0.513422,0.0404278,0.0175,0.0064288
-0.86622,-0.313354,0.0443335,0.045,0.00309216
-0.891727,-0.333688,0.0579668,0.025,0.00309216
-0.849908,-0.330753,0.08099,0.0125,0.00309216
-0.888132,-0.291802,0.0721567,0.0225,0.00309216
-0.849811,-0.288875,0.0657008,0.0175,0.00309216
-0.832511,-0.320972,0.0318556,0.0175,0.00309216
-0.717434,-0.406346,0.0446358,0.045,0.00450812
-0.747385,-0.397714,0.0279496,0.025,0.00450812
-0.727275,-0.440094,0.0186206,0.0125,0.00450812
-0.750024,-0.421367,0.0653971,0.0225,0.00450812
-0.715246,-0.43852,0.0615198,0.0175,0.00450812
-0.683515,-0.41353,0.0324749,0.0175,0.00450812
-0.662851,-0.477091,0.0514994,0.045,0.0102268
-0.673235,-0.456617,0.0246104,0.025,0.0102268
-0.635198,-0.484971,0.0185499,0.0125,0.0102268
-0.688245,-0.498327,0.0265407,0.0225,0.0102268
-0.657393,-0.512594,0.0456031,0.0175,0.0102268
-0.631775,-0.478378,0.0710601,0.0175,0.0102268
-0.575,-0.458944,0.0493116,0.045,0.0127895
-0.54979,-0.45692,0.0246064,0.025,0.0127895
-0.540447,-0.48062,0.0650856,0.0125,0.0127895
-0.576472,-0.492371,0.0248318,0.0225,0.0127895
-0.583638,-0.491494,0.0631285,0.0175,0.0127895
-0.576721,-0.44685,0.0839639,0.0175,0.0127895
-0.403794,-0.402478,0.0547085,0.045,0.00137494
-0.400944,-0.383729,0.0248696,0.025,0.00137494
-0.364914,-0.412571,0.0374184,0.0125,0.00137494
-0.416626,-0.425167,0.02247,0.0225,0.00137494
-0.397448,-0.438308,0.0537471,0.0175,0.00137494
-0.384221,-0.402637,0.0858028,0.0175,0.00137494
-0.385335,-0.50283,0.0488729,0.045,0.00320163
-0.371138,-0.524489,0.0248037,0.025,0.00320163
-0.380901,-0.479391,0.0122196,0.0125,0.00320163
-0.344087,-0.498666,0.0486816,0.0225,0.00320163
-0.370112,-0.470247,0.0544983,0.0175,0.00320163
-0.417433,-0.485002,0.0502516,0.0175,0.00320163
-0.1979,-0.385698,0.0448084,0.045,0.00698363
-0.167441,-0.400358,0.0344467,0.025,0.00698363
-0.167531,-0.372702,0.0734676,0.0125,0.00698363
-0.19194,-0.421538,0.0647776,0.0225,0.00698363
-0.208424,-0.389419,0.0794552,0.0175,0.00698363
-0.208646,-0.350725,0.0481863,0.0175,0.00698363
-0.888717,-0.211518,0.0446062,0.045,0.00273491
-0.898046,-0.242935,0.0578717,0.025,0.00273491
-0.852033,-0.230001,0.0596118,0.0125,0.00273491
-0.895825,-0.208136,0.0853098,0.0225,0.00273491
-0.868655,-0.188983,0.06497,0.0175,0.00273491
-0.866459,-0.201938,0.0169873,0.0175,0.00273491
-0.723617,-0.274359,0.0445194,0.045,0.0050671
-0.75836,-0.280715,0.0429326,0.025,0.0050671
-0.729246,-0.304676,0.0135082,0.0125,0.0050671
-0.73319,-0.30671,0.0686131,0.0225,0.0050671
-0.700636,-0.302417,0.0476234,0.0175,0.0050671
-0.699738,-0.261084,0.0199513,0.0175,0.0050671
-0.634639,-0.287436,0.0447016,0.045,0.00533735
-0.659667,-0.306654,0.0287573,0.025,0.00533735
-0.613905,-0.314388,0.0172032,0.0125,0.00533735
-0.640176,-0.323127,0.0650544,0.0225,0.00533735
-0.606339,-0.304465,0.0600023,0.0175,0.00533735
-0.609812,-0.263586,0.031862,0.0175,0.00533735
