point_x,point_y,point_z,force_x,force_y,force_z
0.215691,-0.156771,0.206677,6.47792,3.20806,2.91904
0.21203,-0.0680051,0.222311,0.165376,0.0758465,0.0082396
0.208634,0.0411594,0.236811,385.541,-98.0902,232.324
0.194746,-0.101622,0.296119,-51.0178,1.37562,-5.08739
0.19375,-0.135858,0.300371,58.0817,-28.632,7.86232
0.211059,0.27954,0.226458,275.447,16.153,228.096
0.211059,0.283333,0.226458,129.659,51.1079,107.346
0.212816,-0.823848,0.218956,7.08145,3.00623,4.26379
0.214934,0.48789,0.209909,236.679,-119.607,97.0475
0.211553,0.462698,0.224349,116.582,-47.3608,30.1095
0.217233,-0.52499,0.200091,35.0867,-0.502113,16.1657
0.217255,-0.52499,0.2,35.0512,-0.594197,15.6549
0.212384,-0.231695,0.220799,439.364,-67.7813,197.084
0.20914,-0.257709,0.234654,-7.53896,-1.78362,-5.79175
0.209393,0.131716,0.233571,376.06,-175.929,171.316
0.209729,0.637909,0.232139,899.607,-201.642,535.314
0.190555,-0.84831,0.314016,5.24916,1.41714,3.95195
0.196638,-0.330665,0.288038,-31.6982,0.781432,-25.9794
0.195924,-0.286507,0.291086,105.681,39.4602,30.6044
0.20276,0.41014,0.261898,82.9731,-25.9122,9.02809
0.20276,0.416667,0.261898,-64.4087,20.6831,-13.2927
0.200496,0.739408,0.271565,21.5436,3.60562,17.2943
0.198693,0.683333,0.279261,0.78598,-0.518253,0.270843
0.198693,0.68562,0.279261,39.254,1.06842,-8.503
0.210672,0.936567,0.228112,274.483,-48.0288,-39.4213
0.212379,-0.916667,0.220822,212.541,-28.4198,177.23
0.212379,-0.913181,0.220822,309.438,138.384,174.906
0.212434,-0.888958,0.220587,222.595,103.333,118.495
0.211622,-0.892614,0.224053,-17.7242,2.37865,0.290743
0.20012,-0.397596,0.273168,180.366,67.6162,119.962
0.193435,-0.41495,0.301716,-44.6601,-7.60675,-1.97681
0.194245,-0.411302,0.298257,116.398,3.46184,25.276
0.186031,0.0916034,0.333333,-41.815,1.31303,1.72077
0.187862,0.0916034,0.325514,288.105,-16.9081,79.3652
0.193592,0.231954,0.301047,-6.46399,0.198272,-4.42596
0.192582,0.260436,0.305359,75.7301,3.24833,2.56796
0.192003,0.25783,0.30783,-38.3238,-5.23498,-5.36267
0.202737,0.816667,0.261992,-46.2379,8.94418,-10.3016
0.202737,0.804742,0.261992,954.591,-95.0624,486.703
0.209478,-0.660426,0.23321,10.4271,-2.33272,8.1217
0.206139,-0.685214,0.247468,213.054,36.3846,37.6367
0.191509,0.33099,0.309939,60.8424,15.1285,17.7805
0.192345,0.302092,0.306369,40.0443,10.6765,29.8112
0.185065,0.334897,0.337762,58.2895,18.7851,18.303
0.194577,0.55,0.296838,-9.29111,-3.90872,-2.47472
0.194577,0.550129,0.296838,-9.18196,-3.87847,-2.48651
0.189692,0.53064,0.317698,71.5269,-36.9838,21.5901
0.197841,-0.763055,0.282902,337.62,-85.1893,129.481
0.184643,0.484703,0.339697,1.66567,0.438814,-0.299139
0.196119,-0.591488,0.290255,130.951,-42.0853,9.40119
0.189805,0.652617,0.317215,-15.0109,7.69497,-3.40351
0.248489,-0.401342,0.280134,-32.4638,-4.53449,-26.1437
0.243633,-0.0663298,0.300872,-28.8527,6.69468,-13.7301
0.247742,0.361147,0.283324,-33.1914,8.12764,-18.588
0.249435,-0.47868,0.276093,-25.4626,2.54369,-18.3036
0.243336,-0.276252,0.30214,-91.6198,-24.4933,-69.0672
0.242773,-0.278788,0.304545,-15.2312,-1.07373,-6.00506
0.241071,0.033848,0.311811,-29.0941,-2.48929,-18.5814
0.242999,0.433299,0.303576,-28.0859,3.0743,-20.6674
0.25051,0.620514,0.271503,-65.2724,-8.40025,-7.33609
0.257307,-0.789736,0.242477,-21.5452,2.07072,-17.715
0.234141,-0.570514,0.341999,-39.7541,2.14577,-31.921
0.228555,0.0978573,0.367621,-20.8121,-2.30659,-8.50286
0.241436,-0.855503,0.31025,-20.5784,-2.49738,-11.5136
0.214479,-0.475498,0.432182,-25.3747,-2.87479,-18.4748
0.221529,-0.358067,0.399846,-23.0768,0.363797,-13.3668
0.222879,-0.0107783,0.393653,-52.4015,7.80642,-41.0411
0.229242,0.269282,0.364472,-50.0588,18.3427,-31.9049
0.233904,0.504842,0.343087,-30.3978,-2.80001,-24.237
0.214112,-0.565592,0.433867,-36.6398,-1.66441,-29.4516
0.20696,-0.186981,0.466667,-27.7725,-10.4639,-10.183
0.206855,-0.186981,0.467188,-30.9187,-14.6408,-14.1148
0.204422,0.159811,0.479238,-43.1947,-1.67104,-33.6566
0.241164,0.718783,0.311415,-45.2925,8.17825,-34.0047
0.235485,-0.750878,0.335837,-17.583,-1.24464,-9.82691
0.231204,-0.7997,0.355474,-24.3542,-1.11629,-11.9873
0.201594,-0.0663348,0.493246,-29.2766,2.20325,-14.7095
0.224431,-0.847522,0.386535,-30.1385,3.07541,-22.2061
0.200428,-0.246791,0.499023,-22.5772,2.36831,2.69155
0.183413,-0.0261161,0.583309,-35.6292,-17.9368,-8.23618
0.198202,0.247779,0.510049,-27.8039,-2.63497,-19.2217
0.224084,0.735084,0.388129,-29.927,0.185605,-7.21071
0.174507,-0.107528,0.629808,-14.8298,0.985967,-11.0381
0.180371,0.067832,0.598377,-8.71461,1.17806,-5.34325
0.182495,-0.187963,0.587853,-24.8092,6.31318,-17.6481
0.184335,0.191331,0.578738,-22.9373,-3.69537,-11.3683
0.206588,0.547219,0.468509,-18.4992,0.968599,-12.8931
0.189925,-0.36445,0.551048,-22.0083,-1.50936,-12.3558
0.18239,0.318835,0.588374,-35.6601,0.250258,-24.1985
0.1756,0.431547,0.623924,-19.0498,0.645063,-9.65097
0.180043,-0.273052,0.6,-13.0441,-4.18079,-8.20627
0.180156,-0.273052,0.599442,-22.0296,-4.14115,-10.8286
0.205527,0.685884,0.473768,-18.1712,2.59431,-12.414
