X,Y,Z,r,absv
-0.944128,-0.48424,0.0446043,0.045,0.00066586
-0.95547,-0.511715,0.0254611,0.025,0.00066586
-0.92577,-0.519894,0.0620476,0.0125,0.00066586
-0.977696,-0.500921,0.0623156,0.0225,0.00066586
-0.947065,-0.485542,0.0808628,0.0175,0.00066586
-0.910627,-0.470381,0.0505737,0.0175,0.00066586
-0.780849,-0.555872,0.0481749,0.045,0.00167059
-0.803359,-0.542448,0.024446,0.025,0.00167059
-0.757029,-0.545549,0.0129812,0.0125,0.00167059
-0.79379,-0.58573,0.022489,0.0225,0.00167059
-0.758174,-0.582454,0.0379651,0.0175,0.00167059
-0.751835,-0.541582,0.0656098,0.0175,0.00167059
-0.678602,-0.627848,0.0444746,0.045,0.00527852
-0.644124,-0.625167,0.0371227,0.025,0.00527852
-0.65731,-0.645263,0.0784723,0.0125,0.00527852
-0.665188,-0.662784,0.0266341,0.0225,0.00527852
-0.692031,-0.66008,0.0547574,0.0175,0.00527852
-0.699354,-0.613742,0.0713149,0.0175,0.00527852
-0.531602,-0.634909,0.0487652,0.045,0.00272142
-0.555097,-0.609815,0.0405036,0.025,0.00272142
-0.516979,-0.615807,0.0122441,0.0125,0.00272142
-0.559428,-0.649875,0.0219238,0.0225,0.00272142
-0.52151,-0.658781,0.0232061,0.0175,0.00272142
-0.495967,-0.633502,0.057608,0.0175,0.00272142
-0.451063,-0.580163,0.0446701,0.045,0.00663979
-0.453317,-0.545716,0.052307,0.025,0.00663979
-0.459712,-0.577514,0.0874566,0.0125,0.00663979
-0.414358,-0.566189,0.0579437,0.0225,0.00663979
-0.429539,-0.601393,0.0649428,0.0175,0.00663979
-0.475406,-0.607609,0.0467075,0.0175,0.00663979
-0.397361,-0.662928,0.0448046,0.045,0.00672508
-0.404272,-0.654636,0.078472,0.025,0.00672508
-0.387902,-0.620466,0.0492838,0.0125,0.00672508
-0.435871,-0.647922,0.0480555,0.0225,0.00672508
-0.411359,-0.642293,0.0182856,0.0175,0.00672508
-0.366381,-0.662446,0.0250555,0.0175,0.00672508
-0.318753,-0.719622,0.0473328,0.045,0.00333877
-0.329424,-0.685942,0.0459836,0.025,0.00333877
-0.299301,-0.701867,0.0124199,0.0125,0.00333877
-0.351738,-0.716223,0.0224487,0.0225,0.00333877
-0.321449,-0.74023,0.0174491,0.0175,0.00333877
-0.285623,-0.734936,0.051559,0.0175,0.00333877
