X,Y,Z,r,absv
-0.943285,-0.485394,0.0446396,0.045,0.000194146
-0.95517,-0.512513,0.0253179,0.025,0.000194146
-0.925702,-0.521528,0.0618948,0.0125,0.000194146
-0.97722,-0.501475,0.0622062,0.0225,0.000194146
-0.946302,-0.48685,0.0808857,0.0175,0.000194146
-0.909511,-0.472275,0.0507364,0.0175,0.000194146
-0.772477,-0.551291,0.0478916,0.045,0.000241382
-0.795461,-0.537225,0.0250025,0.025,0.000241382
-0.749573,-0.541049,0.0120726,0.0125,0.000241382
-0.786754,-0.580651,0.0223405,0.0225,0.000241382
-0.750622,-0.578175,0.0367308,0.0175,0.000241382
-0.74268,-0.537702,0.0645492,0.0175,0.000241382
-0.668987,-0.62791,0.0446148,0.045,9.84601e-05
-0.63639,-0.628502,0.0309376,0.025,9.84601e-05
-0.64374,-0.648627,0.0736984,0.0125,9.84601e-05
-0.662944,-0.663366,0.0239972,0.0225,9.84601e-05
-0.683647,-0.658952,0.0567181,0.0175,9.84601e-05
-0.682758,-0.612737,0.0751133,0.0175,9.84601e-05
-0.52433,-0.635169,0.0493345,0.045,0.00065686
-0.542815,-0.605446,0.0443499,0.025,0.00065686
-0.509727,-0.617623,0.012033,0.0125,0.00065686
-0.557151,-0.642809,0.0251849,0.0225,0.00065686
-0.52196,-0.659279,0.0221665,0.0175,0.00065686
-0.488484,-0.641469,0.0543721,0.0175,0.00065686
-0.449145,-0.579876,0.0446501,0.045,0.00138065
-0.46007,-0.547615,0.0541311,0.025,0.00138065
-0.448629,-0.578989,0.0883702,0.0125,0.00138065
-0.416481,-0.554987,0.0503352,0.0225,0.00138065
-0.418293,-0.592974,0.0588472,0.0175,0.00138065
-0.462899,-0.613416,0.0506396,0.0175,0.00138065
-0.3506,-0.663406,0.0447035,0.045,0.000336497
-0.349363,-0.654914,0.0790016,0.025,0.000336497
-0.314595,-0.639192,0.0501656,0.0125,0.000336497
-0.368388,-0.626454,0.050774,0.0225,0.000336497
-0.347195,-0.637047,0.0198318,0.0175,0.000336497
-0.328023,-0.682831,0.023187,0.0175,0.000336497
-0.261374,-0.714854,0.0448198,0.045,0.00483058
-0.288317,-0.69829,0.0606229,0.025,0.00483058
-0.285442,-0.697132,0.0128957,0.0125,0.00483058
-0.294293,-0.739987,0.0466794,0.0225,0.00483058
-0.268371,-0.73804,0.0176451,0.0175,0.00483058
-0.233832,-0.702754,0.0237249,0.0175,0.00483058
-0.096693,-0.537551,0.0447836,0.045,0.00207432
-0.0747249,-0.556857,0.024917,0.025,0.00207432
-0.0583273,-0.516561,0.0447882,0.0125,0.00207432
-0.0750143,-0.563484,0.0687889,0.0225,0.00207432
-0.0860341,-0.527265,0.0780338,0.0175,0.00207432
-0.109561,-0.50331,0.0413234,0.0175,0.00207432
-0.864209,-0.312176,0.0445528,0.045,0.000244413
-0.888731,-0.333005,0.0592087,0.025,0.000244413
-0.846476,-0.328327,0.0811203,0.0125,0.000244413
-0.886098,-0.290752,0.0724924,0.0225,0.000244413
-0.848055,-0.286782,0.0650271,0.0175,0.000244413
-0.830594,-0.319007,0.0313874,0.0175,0.000244413
-0.709525,-0.405087,0.0445833,0.045,8.92119e-05
-0.738131,-0.395559,0.0261198,0.025,8.92119e-05
-0.717867,-0.437887,0.016886,0.0125,8.92119e-05
-0.743656,-0.420321,0.0625217,0.0225,8.92119e-05
-0.708876,-0.437792,0.0605513,0.0175,8.92119e-05
-0.674912,-0.412328,0.0346095,0.0175,8.92119e-05
-0.654258,-0.475866,0.0513439,0.045,0.000433718
-0.666146,-0.45591,0.0246904,0.025,0.000433718
-0.627612,-0.483306,0.0174742,0.0125,0.000433718
-0.679962,-0.497982,0.0274915,0.0225,0.000433718
-0.648074,-0.511264,0.0455316,0.0175,0.000433718
-0.622472,-0.476164,0.0697721,0.0175,0.000433718
-0.564636,-0.462172,0.0514097,0.045,0.000732831
