point_x,point_y,point_z,force_x,force_y,force_z
0.143106,0.862801,0.248843,36.6535,-2.71813,-8.86557
0.1243,-0.21037,0.361014,126.692,11.6302,-38.9719
0.196425,-0.220616,0.229384,29.0225,1.13691,-6.57376
0.196759,-0.218603,0.227427,-7.93912,3.27972,-4.10962
0.195827,-0.184367,0.232888,-54.6104,26.2117,-2.29551
0.197886,-0.0649487,0.220817,-508.86,58.3249,-59.2684
0.200272,0.125765,0.20683,-473.795,137.54,99.9844
0.201436,0.125765,0.2,-83.477,44.0959,-44.1282
0.198048,0.0993636,0.219867,-37.8455,10.4432,8.35664
0.195023,0.139726,0.2376,-948.219,149.759,263.589
0.201436,0.300323,0.2,-67.4081,-15.661,144.484
0.201436,0.300323,0.2,-67.4081,-15.661,144.484
0.200196,0.302617,0.207271,-231.195,-59.5354,-153.02
0.199106,-0.413553,0.213665,-146.81,9.44872,35.7914
0.201436,-0.439782,0.2,48.8417,12.8486,0.157591
0.201327,-0.439782,0.200643,44.146,12.5032,11.1744
0.187908,-0.138411,0.27932,-136.893,50.8513,-44.9228
0.196966,0.042879,0.226212,-89.9364,105.049,-101.241
0.196122,0.0377896,0.231158,-1129.34,-16.3726,191.201
0.184693,0.131119,0.298169,-248.684,-1.60206,75.4796
0.198975,0.406365,0.214431,-30.9399,-13.5838,1.47291
0.199778,0.514032,0.209725,-896.335,-53.4581,182.446
0.201436,0.514032,0.2,-43.1591,3.83717,-49.423
0.187932,-0.34928,0.279178,-658.864,22.1938,-276.973
0.201436,-0.525962,0.2,-99.8731,44.1508,98.2088
0.201436,-0.525962,0.2,-99.8731,44.1508,98.2088
0.201436,-0.501217,0.2,-32.7471,1.72078,-18.6081
0.201436,-0.501217,0.2,-32.7471,1.72078,-18.6081
0.182899,-0.052731,0.308688,1.31205,0.0397962,-0.0264385
0.180544,-0.0782807,0.322497,6.41917,1.67048,0.131622
0.188453,-0.48872,0.276127,-658.586,306.954,-48.1116
0.18054,-0.254554,0.322522,-127.403,-30.7521,-13.4679
0.180014,-0.257728,0.325606,-17.4928,-4.50948,6.18707
0.18054,-0.25,0.322522,-10.4743,6.74591,-1.72761
0.180498,-0.28394,0.322764,30.4076,7.76136,18.7325
0.180501,0.0433073,0.322747,-246.963,-35.1255,11.2456
0.182614,0.432234,0.310358,-183.176,-7.69133,-71.9942
0.201436,-0.943552,0.2,-688.48,49.8695,320.748
0.201436,-0.943552,0.2,-688.48,49.8695,320.748
0.19562,-0.598801,0.2341,65.5328,-2.36844,15.3007
