point_x,point_y,point_z,force_x,force_y,force_z
0.15029,0.0840688,0.218657,840.469,-11.5392,404.013
0.152683,-0.0951953,0.204787,239.842,-95.5667,129.609
0.15351,-0.0951953,0.2,94.6974,-41.8892,29.6122
0.151574,-0.129612,0.211216,36.3131,-18.4907,8.23898
0.151427,-0.128735,0.212068,23.2518,-10.3099,9.5571
0.153009,-0.606289,0.2029,160.835,-62.0415,89.4282
0.15351,-0.606289,0.2,113.539,-49.9222,42.9424
0.150623,-0.58681,0.216728,19.0945,-8.16159,9.53521
0.145593,0.301354,0.245874,-23.2323,-6.64325,-13.4718
0.15351,0.596651,0.2,-8.5913,-1.19063,-1.53197
0.15351,0.596651,0.2,-8.5913,-1.19063,-1.53197
0.147388,0.601632,0.235475,2.54443,0.0324194,-0.766561
0.152352,0.555768,0.20671,-7.65774,-2.34853,-0.323027
0.142549,0.668208,0.263517,103.204,17.0782,22.3208
0.150058,0.76637,0.220001,65.6447,27.8902,33.043
0.142604,0.825816,0.263202,80.6108,-31.4424,39.4408
0.151731,-0.870903,0.210308,459.068,155.192,217.076
0.151817,-0.916667,0.209809,-3.0904,0.138751,-1.23082
0.151817,-0.915242,0.209809,13.0983,1.69732,-3.72465
0.147742,-0.783333,0.233421,1.24084,-0.271326,0.927986
0.147742,-0.778694,0.233421,172.674,40.49,117.041
0.149388,-0.821936,0.223887,83.7313,20.4561,56.308
0.15351,-0.71727,0.2,-4.29799,9.3922,93.4625
0.15351,-0.71727,0.2,-4.29799,9.3922,93.4625
0.15351,-0.706634,0.2,123.988,54.4418,-44.7317
0.153002,-0.706634,0.202941,257.56,98.7916,143.868
0.143924,-0.399719,0.25555,224.207,111.596,73.3549
0.152763,-0.211827,0.204325,116.3,-29.0389,38.4705
0.15351,-0.211827,0.2,16.6701,1.87136,-6.6678
0.15351,-0.241974,0.2,15.9274,1.78463,30.8609
0.15351,-0.241974,0.2,15.9274,1.78463,30.8609
0.151782,0.194021,0.21001,22.4711,-4.06061,15.7818
0.150344,0.221934,0.218347,0.160185,-0.0272187,0.113144
0.147679,0.17869,0.233789,151.105,-27.155,106.181
0.148112,0.181277,0.231277,-8.83978,1.1963,-1.29173
0.15351,0.19828,0.2,0.433019,-0.229915,11.796
0.15351,0.19828,0.2,0.433019,-0.229915,11.796
0.15351,0.492479,0.2,299.912,-20.5169,230.733
0.15351,0.492479,0.2,299.912,-20.5169,230.733
0.135539,0.539837,0.304142,881.697,44.3712,487.587
0.135539,0.55,0.304142,56.1411,46.292,22.9646
0.15351,0.881748,0.2,131.195,-56.4606,163.944
0.15351,0.881748,0.2,131.195,-56.4606,163.944
0.162271,0.526565,0.446809,-41.8235,7.35101,-17.9144
0.165702,-0.309037,0.42545,-23.3093,1.97391,-16.5762
0.190302,-0.0718698,0.276542,-22.7283,-5.13894,-15.5039
0.174609,0.25157,0.370014,-43.2872,-4.83992,-1.23617
0.183049,0.0105499,0.318573,-40.3341,-6.50728,-28.0226
0.179976,-0.0319135,0.336604,-19.2974,-1.03258,-7.8983
0.153256,-0.167753,0.505823,-33.3333,8.86912,-12.3546
0.17973,0.71324,0.338135,-64.3916,10.5103,-44.4944
0.180874,-0.861163,0.331175,-48.2084,0.0468194,-34.1238
0.199158,-0.429138,0.225218,-20.3494,-0.685296,-14.9554
0.161422,-0.560391,0.452094,-54.3191,13.3874,-6.20117
0.150162,-0.395539,0.526621,-18.4016,-7.73083,-8.73237
0.184506,-0.333056,0.310125,-24.5133,-2.50527,-15.7496
0.179953,-0.218023,0.336746,-82.0841,-10.6978,-57.5483
0.166424,-0.03393,0.420959,-33.1644,-2.83741,-14.6287
0.166083,-0.0800428,0.423078,-35.5457,-5.6522,-20.4516
0.155911,0.112595,0.48797,-34.3252,1.41869,-10.5716
0.190037,0.252209,0.278075,-27.0115,3.30939,-8.56209
0.160361,0.214712,0.458694,-18.7339,-1.28838,-13.3688
0.173536,0.516823,0.376692,-33.8835,-0.452314,-2.87045
