X,Y,Z,r,absv
-0.944126,-0.483801,0.0446653,0.045,0.00156652
-0.955288,-0.511568,0.0258397,0.025,0.00156652
-0.925679,-0.51915,0.0626274,0.0125,0.00156652
-0.977683,-0.500395,0.0624777,0.0225,0.00156652
-0.947181,-0.48465,0.0809276,0.0175,0.00156652
-0.910704,-0.469725,0.0505677,0.0175,0.00156652
-0.779455,-0.553886,0.0485449,0.045,0.00386801
-0.801506,-0.539882,0.0247193,0.025,0.00386801
-0.755333,-0.544743,0.0132318,0.0125,0.00386801
-0.793493,-0.583495,0.0231475,0.0225,0.00386801
-0.75776,-0.581355,0.0385533,0.0175,0.00386801
-0.749924,-0.540485,0.0658162,0.0175,0.00386801
-0.674153,-0.628197,0.0445099,0.045,0.00256098
-0.640494,-0.626351,0.0338499,0.025,0.00256098
-0.650143,-0.64659,0.0760961,0.0125,0.00256098
-0.663519,-0.663259,0.0251108,0.0225,0.00256098
-0.687409,-0.660182,0.0557471,0.0175,0.00256098
-0.691791,-0.61387,0.0733832,0.0175,0.00256098
-0.53029,-0.634059,0.0491295,0.045,0.00512679
-0.551979,-0.6073,0.0411564,0.025,0.00512679
-0.515283,-0.616628,0.0119347,0.0125,0.00512679
-0.55997,-0.647126,0.0233012,0.0225,0.00512679
-0.522844,-0.658971,0.0236553,0.0175,0.00512679
-0.494413,-0.635348,0.0569512,0.0175,0.00512679
-0.449557,-0.584558,0.0447817,0.045,0.00454851
-0.460891,-0.552826,0.0554856,0.025,0.00454851
-0.450003,-0.585676,0.0884973,0.0125,0.00454851
-0.417183,-0.559783,0.052322,0.0225,0.00454851
-0.41894,-0.59813,0.0590438,0.0175,0.00454851
-0.463226,-0.618411,0.0489234,0.0175,0.00454851
-0.376308,-0.667831,0.044754,0.045,0.0286175
-0.379614,-0.655197,0.0776089,0.025,0.0286175
-0.34197,-0.641587,0.0514319,0.0125,0.0286175
-0.395755,-0.631226,0.0439393,0.0225,0.0286175
-0.370566,-0.64456,0.0173594,0.0175,0.0286175
-0.350676,-0.688719,0.0287329,0.0175,0.0286175
-0.291497,-0.725858,0.0477676,0.045,0.0313689
-0.304786,-0.694204,0.0562212,0.025,0.0313689
-0.28715,-0.700724,0.0122441,0.0125,0.0313689
-0.331287,-0.72371,0.0363253,0.0225,0.0313689
-0.302765,-0.742181,0.0172457,0.0175,0.0313689
-0.257822,-0.73672,0.0378693,0.0175,0.0313689
-0.142604,-0.542967,0.0448656,0.045,0.178531
-0.109442,-0.555218,0.0444544,0.025,0.178531
-0.122876,-0.526464,0.0802346,0.0125,0.178531
-0.140002,-0.577501,0.0676559,0.0225,0.178531
-0.162381,-0.546505,0.075219,0.0175,0.178531
-0.156456,-0.508982,0.0430964,0.0175,0.178531
-0.865391,-0.313306,0.0445232,0.045,0.00184281
-0.890274,-0.334048,0.058687,0.025,0.00184281
-0.848064,-0.330362,0.0808742,0.0125,0.00184281
-0.887113,-0.292082,0.0727444,0.0225,0.00184281
-0.848982,-0.288515,0.0655275,0.0175,0.00184281
-0.831811,-0.320372,0.0313916,0.0175,0.00184281
-0.716993,-0.406266,0.044549,0.045,0.00244857
-0.746933,-0.397021,0.0281742,0.025,0.00244857
-0.727866,-0.439859,0.0187458,0.0125,0.00244857
-0.74967,-0.420509,0.0657187,0.0225,0.00244857
-0.715323,-0.438434,0.0615026,0.0175,0.00244857
-0.68338,-0.414228,0.0320299,0.0175,0.00244857
-0.662014,-0.477856,0.0508738,0.045,0.00448063
-0.672842,-0.456679,0.024715,0.025,0.00448063
-0.635199,-0.485187,0.0171141,0.0125,0.00448063
-0.688159,-0.498301,0.0260308,0.0225,0.00448063
-0.656997,-0.513254,0.0440327,0.0175,0.00448063
-0.630505,-0.479847,0.0696683,0.0175,0.00448063
-0.573912,-0.461113,0.0489063,0.045,0.00213112
-0.54842,-0.457768,0.0246378,0.025,0.00213112
-0.539069,-0.482422,0.064541,0.0125,0.00213112
-0.574244,-0.493829,0.0234451,0.0225,0.00213112
-0.581955,-0.49425,0.0616434,0.0175,0.00213112
-0.5764,-0.450089,0.0838674,0.0175,0.00213112
-0.395588,-0.403689,0.0540352,0.045,0.0459471
-0.396706,-0.38425,0.0245245,0.025,0.0459471
-0.360849,-0.41539,0.0301865,0.0125,0.0459471
-0.414995,-0.424673,0.0240053,0.0225,0.0459471
-0.391629,-0.43977,0.0512972,0.0175,0.0459471
-0.371094,-0.405845,0.0813374,0.0175,0.0459471
-0.375937,-0.501598,0.050086,0.045,0.019348
-0.366848,-0.524576,0.0247997,0.025,0.019348
-0.377626,-0.479694,0.0122726,0.0125,0.019348
-0.335313,-0.498745,0.0423221,0.0225,0.019348
-0.359164,-0.469324,0.0515043,0.0175,0.019348
-0.406817,-0.48273,0.0564442,0.0175,0.019348
-0.185562,-0.380499,0.0445137,0.045,0.0688264
-0.159416,-0.39385,0.0248123,0.025,0.0688264
-0.148186,-0.366876,0.0626771,0.0125,0.0688264
-0.17262,-0.416425,0.0606564,0.0225,0.0688264
-0.184668,-0.385186,0.0806001,0.0175,0.0688264
-0.195761,-0.346007,0.0520178,0.0175,0.0688264
-0.888441,-0.211329,0.0447016,0.045,0.000568069
-0.897596,-0.242721,0.0581446,0.025,0.000568069
-0.851618,-0.229629,0.0595889,0.0125,0.000568069
-0.895346,-0.207802,0.0854279,0.0225,0.000568069
-0.868347,-0.188644,0.0648668,0.0175,0.000568069
-0.866361,-0.201789,0.0169266,0.0175,0.000568069
-0.722256,-0.274008,0.0445824,0.045,0.00288213
-0.757091,-0.280031,0.0441186,0.025,0.00288213
-0.729129,-0.304538,0.0140345,0.0125,0.00288213
-0.731397,-0.306049,0.0692507,0.0225,0.00288213
-0.699464,-0.302265,0.0472352,0.0175,0.00288213
-0.699016,-0.261187,0.0191746,0.0175,0.00288213
-0.631983,-0.288054,0.0444746,0.045,0.00233419
-0.656069,-0.309624,0.0301722,0.025,0.00233419
-0.610461,-0.31373,0.0163665,0.0125,0.00233419
-0.633434,-0.32366,0.0656606,0.0225,0.00233419
-0.601601,-0.302334,0.0585463,0.0175,0.00233419
-0.609951,-0.262474,0.0299723,0.0175,0.00233419
-0.542068,-0.285757,0.0453682,0.045,0.00433648
-0.527859,-0.310631,0.0246468,0.025,0.00433648
-0.52156,-0.313777,0.0719535,0.0125,0.00433648
-0.56795,-0.317987,0.0421793,0.0225,0.00433648
-0.56237,-0.295928,0.0738184,0.0175,0.00433648
-0.527207,-0.261174,0.0682765,0.0175,0.00433648
-0.455268,-0.325301,0.0445709,0.045,0.0648422
-0.438513,-0.296701,0.0322711,0.025,0.0648422
-0.424066,-0.31576,0.0736897,0.0125,0.0648422
-0.422036,-0.336743,0.0225833,0.0225,0.0648422
-0.435697,-0.354318,0.0545713,0.0175,0.0648422
-0.474737,-0.331343,0.0751397,0.0175,0.0648422
-0.366964,-0.282484,0.0445547,0.045,0.0754984
-0.339058,-0.291639,0.0248719,0.025,0.0754984
-0.332461,-0.282861,0.0714223,0.0125,0.0754984
-0.360863,-0.323426,0.0468451,0.0225,0.0754984
-0.373267,-0.300307,0.0756612,0.0175,0.0754984
-0.374925,-0.252075,0.0635794,0.0175,0.0754984
-0.221849,-0.280624,0.0445013,0.045,0.0883896
-0.238035,-0.251368,0.0330082,0.025,0.0883896
-0.25229,-0.270796,0.0743224,0.0125,0.0883896
-0.204074,-0.247122,0.0612453,0.0225,0.0883896
-0.209255,-0.281609,0.0786396,0.0175,0.0883896
-0.233963,-0.314714,0.0509164,0.0175,0.0883896
-0.0403662,-0.270654,0.0441561,0.045,0.160921
-0.0166659,-0.291313,0.0279851,0.025,0.160921
-0.00633785,-0.245035,0.0342443,0.0125,0.160921
-0.0130111,-0.285085,0.0717641,0.0225,0.160921
-0.0295835,-0.249813,0.0719843,0.0175,0.160921
-0.0592141,-0.241165,0.0329686,0.0175,0.160921
-0.823928,-0.116334,0.0452652,0.045,0.00104032
-0.828711,-0.146236,0.0635132,0.025,0.00104032
-0.785572,-0.125593,0.0641215,0.0125,0.00104032
-0.833634,-0.107503,0.0845916,0.0225,0.00104032
-0.808904,-0.0876685,0.0619255,0.0175,0.00104032
-0.802096,-0.107837,0.0169603,0.0175,0.00104032
-0.712608,-0.176542,0.0446863,0.045,0.0029251
-0.728839,-0.201053,0.0250446,0.025,0.0029251
-0.682101,-0.20597,0.0339243,0.0125,0.0029251
-0.725025,-0.207969,0.0687065,0.0225,0.0029251
-0.692362,-0.187152,0.0730152,0.0175,0.0029251
-0.685229,-0.153144,0.0374118,0.0175,0.0029251
-0.616845,-0.186942,0.0447073,0.045,0.0130355
-0.589828,-0.205823,0.0319163,0.025,0.0130355
-0.583862,-0.182093,0.073011,0.0125,0.0130355
-0.616918,-0.224869,0.0614483,0.0225,0.0130355
-0.626924,-0.191734,0.079355,0.0175,0.0130355
-0.621001,-0.151045,0.0513489,0.0175,0.0130355
-0.511043,-0.201498,0.0451317,0.045,0.024327
-0.48261,-0.199081,0.0242578,0.025,0.024327
-0.476574,-0.196919,0.071654,0.0125,0.024327
-0.493915,-0.238926,0.0401741,0.0225,0.024327
-0.510846,-0.225416,0.072571,0.0175,0.024327
-0.526129,-0.178192,0.0691986,0.0175,0.024327
-0.410545,-0.177036,0.0447912,0.045,0.0187791
-0.425805,-0.208899,0.043406,0.025,0.0187791
-0.380751,-0.204307,0.0280246,0.0125,0.0187791
-0.401387,-0.198602,0.0789938,0.0225,0.0187791
-0.377812,-0.173775,0.0603766,0.0175,0.0187791
-0.397296,-0.154787,0.0187256,0.0175,0.0187791
