point_x,point_y,point_z,force_x,force_y,force_z
-0.286774,0.0614838,0.2,422.098,56.9335,72.4725
-0.286622,0.0614838,0.200603,424.745,57.8952,80.2561
-0.27935,0.0603337,0.22934,65.7724,28.0269,-0.766404
-0.286774,0.0800482,0.2,-24.9566,-2.42778,2.77475
-0.286774,0.0800482,0.2,-24.9566,-2.42778,2.77475
-0.265505,0.95,0.28405,85.428,-59.015,-22.6239
-0.265505,0.95,0.28405,85.428,-59.015,-22.6239
-0.26929,0.930087,0.269093,-4.19704,-1.76056,0.974684
-0.26186,0.95,0.298455,-10.3368,4.10747,2.79832
-0.26186,0.95,0.298455,-10.3368,4.10747,2.79832
-0.212412,0.60765,0.508882,171.948,-23.6572,40.3829
-0.286774,0.479484,0.2,348.196,14.6933,211.962
-0.286774,0.479484,0.2,348.196,14.6933,211.962
-0.242866,-0.776944,0.376495,229.488,69.7659,30.8354
-0.242866,-0.783333,0.376495,-2.84488,-0.47327,0.800234
-0.225346,0.828501,0.450859,-22.5816,-0.103875,-2.3204
-0.231966,0.847669,0.422761,30.7639,8.99399,-22.7699
-0.246933,-0.324367,0.359229,437.653,-54.7751,58.9898
-0.286774,-0.279354,0.2,150.079,-9.85629,60.2478
-0.286774,-0.279354,0.2,150.079,-9.85629,60.2478
-0.28129,-0.277597,0.221671,-33.7093,-6.58305,27.3058
-0.235074,0.2071,0.409566,4.85345,1.75817,0.482667
-0.235147,0.206774,0.409257,5.42288,1.93294,0.483777
-0.239168,-0.553476,0.392189,7.04213,-2.51641,0.622022
-0.242877,-0.218124,0.376446,-2.80927,-0.982122,0.718338
-0.237516,-0.219056,0.399203,97.0269,11.118,2.87744
-0.216972,0.122879,0.487981,-8.1589,1.2461,6.04616
-0.210413,0.077908,0.518047,238.988,-43.1266,49.8339
-0.270975,0.0988803,0.262435,6.67996,3.41752,-2.79132
-0.272784,0.14441,0.255287,27.7939,14.3002,-11.1007
-0.261155,0.117859,0.301243,0.142371,0.0727793,-0.0598306
-0.28561,0.943097,0.204599,120.155,34.4134,-68.7892
-0.286774,0.943097,0.2,-29.2613,-0.759462,0.186255
-0.285328,0.944285,0.205715,100.779,58.8445,-28.0485
-0.253034,-0.488317,0.333333,70.3362,9.13504,17.603
-0.253774,-0.488317,0.330411,118.128,24.3035,6.87643
-0.256914,-0.462298,0.318002,106.876,8.38831,-23.5265
