point_x,point_y,point_z,force_x,force_y,force_z
0.196077,-0.402243,0.2,78.4332,-1.42326,67.4593
0.196077,-0.402243,0.2,78.4332,-1.42326,67.4593
0.196077,-0.395937,0.2,-0.978667,0.363676,28.2193
0.196077,-0.395937,0.2,-0.978667,0.363676,28.2193
0.192317,-0.373704,0.217597,172.945,-30.2021,132.763
0.196077,-0.207963,0.2,2.99746,-2.05208,26.0331
0.196077,-0.207963,0.2,2.99746,-2.05208,26.0331
0.194864,-0.245523,0.205679,229.146,-67.4426,85.5327
0.196077,-0.245523,0.2,-42.0247,-7.27975,-16.4545
0.194864,-0.25,0.205679,35.5881,-28.9668,12.6302
0.196077,0.657756,0.2,2.81842,0.539913,7.42279
0.196077,0.657756,0.2,2.81842,0.539913,7.42279
0.189444,0.658494,0.23104,85.0242,32.8068,52.7007
0.190092,0.655325,0.228009,-46.5784,-5.18832,14.183
0.196077,-0.552164,0.2,9.83322,-1.99534,9.08625
0.196077,-0.552164,0.2,9.83322,-1.99534,9.08625
0.192721,-0.138451,0.215708,8.95994,4.21741,4.32941
0.186532,-0.161333,0.244666,-16.5485,-0.523702,-5.84206
0.185691,-0.157218,0.248602,328.652,-63.3913,160.544
0.194877,0.794989,0.205615,-2.74568,0.301417,-1.26639
0.196077,0.49868,0.2,120.236,108.706,289.623
0.196077,0.49868,0.2,120.236,108.706,289.623
0.196077,0.522431,0.2,114.846,78.6227,132.902
0.196077,0.522431,0.2,114.846,78.6227,132.902
0.193139,-0.815856,0.21375,102.821,1.61789,82.1381
0.188532,-0.796813,0.235308,76.7119,5.73655,60.8688
0.184108,-0.30601,0.25601,27.9163,-1.25586,21.5829
0.183961,-0.30529,0.256698,32.2136,0.778806,25.7228
0.186471,-0.2786,0.244949,-50.3476,4.52389,12.0655
0.17749,-0.289325,0.286973,9.25106,-3.84853,5.37585
0.185925,0.35763,0.494503,-15.4112,-0.667593,-10.338
0.181958,0.462457,0.516038,-26.4113,-1.92342,-10.839
0.200848,0.49337,0.417442,-39.4392,2.10063,8.38116
0.217048,0.744756,0.336024,-26.7962,-1.2882,-18.0914
0.212302,0.572622,0.359874,-27.8624,-0.555013,-21.6154
0.193106,0.589469,0.456351,-36.4834,-1.48731,-28.2573
0.186971,0.788486,0.488827,-45.462,-20.6107,-16.2956
0.20685,0.758107,0.387276,-12.0561,-1.63548,-2.21727
0.189706,0.141386,0.473983,-125.537,29.8824,-49.9402
0.226379,0.66536,0.292173,-25.1252,4.28313,-8.72466
0.192352,-0.652143,0.460143,-69.8095,9.59936,-15.1856
0.192352,-0.65,0.460143,-47.4637,2.59031,-5.86502
0.203277,0.686098,0.405232,-26.8096,1.00273,-19.3078
0.211996,0.657967,0.361414,-18.4435,0.747226,-14.2853
0.227357,-0.877179,0.287597,-21.3526,-4.11762,-16.2387
0.219985,0.217227,0.322095,-48.8094,16.3183,-32.8031
0.226984,-0.309285,0.289346,-86.6103,0.328061,-69.2086
0.208368,0.351937,0.379645,-103.363,38.3202,-63.3331
0.224316,0.364962,0.301826,-40.3212,20.133,-15.9951
0.217982,-0.424316,0.331468,-29.4048,-7.76125,-7.92334
0.236686,-0.388441,0.243946,-29.1832,-5.13254,-15.6068
0.202621,-0.426855,0.408533,-27.8762,-3.04455,-11.2613
0.219164,-0.0171328,0.325937,-34.8169,-1.44839,-0.656254
0.233512,0.0825391,0.258797,-24.9852,-0.230948,-3.92924
0.231429,0.554283,0.268545,-42.8335,-9.56014,-29.9491
0.226084,0.488304,0.293555,-27.0082,-2.93243,-12.3407
