point_x,point_y,point_z,force_x,force_y,force_z
0.25834,0.0365359,0.257447,12.3577,-4.59571,9.41627
0.265481,0.276321,0.232823,8.61957,2.39645,-0.860202
0.267383,-0.233774,0.226264,15.5563,-0.633695,-2.82727
0.260312,0.126028,0.250648,72.2987,-1.38917,6.34037
0.246922,-0.284406,0.296818,8.59781,3.74168,0.507984
0.253785,0.409772,0.273153,15.6046,4.02349,-1.75345
0.252209,0.704471,0.278588,0.881678,0.157385,-0.132753
0.263771,0.95,0.23872,-5.0058,1.70276,-0.633855
0.263771,0.944979,0.23872,53.7538,-2.21834,38.153
0.256226,-0.392187,0.264738,45.5576,11.4285,21.9989
0.248097,0.22453,0.292766,21.7443,-7.39668,-0.171562
0.25596,0.817178,0.265653,29.9127,-6.11534,9.99863
0.25596,0.816667,0.265653,32.9449,-6.11786,-3.73732
0.263122,-0.656424,0.240956,14.6719,-3.4821,-1.81757
0.244605,0.305708,0.304807,23.3957,0.874672,4.20679
0.249369,0.55,0.288382,6.32452,-0.207217,0.581393
0.249369,0.550002,0.288382,6.32483,-0.214562,0.581483
0.312152,-0.238202,0.244303,-585.945,0.447169,-199.272
0.320132,-0.094097,0.216784,-15.2671,-1.88948,-7.3714
0.325,-0.0890753,0.2,-2.07617,1.01279,0.25315
0.325,-0.0890753,0.2,-2.07617,1.01279,0.25315
0.312722,0.122108,0.242337,-30.3828,-0.962285,5.54189
0.308481,0.0978374,0.256961,-320.213,3.13442,58.6983
0.30469,0.139952,0.270034,-695.065,63.8787,121.563
0.325,0.360853,0.2,-36.5202,-7.01597,249.384
0.325,0.360853,0.2,-36.5202,-7.01597,249.384
0.325,0.348991,0.2,-678.889,-146.593,430.832
0.325,0.348991,0.2,-678.889,-146.593,430.832
0.319551,-0.444366,0.21879,-429.248,-77.675,-148.235
0.297442,-0.154975,0.295025,-2.28916,0.400708,-1.84192
0.297892,-0.153293,0.293473,-11.1281,3.02884,-9.39369
0.325,-0.172616,0.2,-13.9847,6.31318,10.2099
0.325,-0.172616,0.2,-13.9847,6.31318,10.2099
0.307385,0.0319565,0.260739,-1235.98,132.494,180.492
0.289286,0.160379,0.323151,-99.3542,8.98038,17.4044
0.319969,0.272303,0.217348,-133.261,58.6231,-8.86527
0.321597,0.429709,0.211732,-538.367,32.6178,-495.452
0.321415,0.429028,0.212361,-538.738,7.65843,-482.348
0.325,0.428983,0.2,-305.442,4.43622,782.694
0.325,0.428983,0.2,-305.442,4.43622,782.694
0.312687,0.513396,0.242457,-60.6475,14.3465,5.41855
0.289523,-0.372379,0.322334,-134.174,-56.4177,-5.0241
0.324662,-0.517832,0.201165,-37.6822,15.679,-11.743
0.325,-0.516667,0.2,-26.8589,12.6105,-11.4691
0.323681,-0.516667,0.204546,-128.78,51.8409,-15.7585
0.325,-0.514166,0.2,-46.6396,25.3132,-19.7404
0.325,-0.516667,0.2,-26.8589,12.6105,-11.4691
0.323681,-0.514166,0.204546,-158.686,76.8618,-24.4405
0.316965,-0.498192,0.227705,-255.972,120.678,-70.4911
0.281659,-0.0854839,0.350645,-873.416,-204.798,85.602
0.306182,0.34822,0.264887,-1.93901,1.22572,-1.21591
0.305312,0.344966,0.267889,-60.3784,31.6404,-19.3543
0.305816,0.31576,0.26615,-11.1906,5.01215,-0.892102
0.29566,0.340909,0.301173,-18.6722,9.71146,-5.34959
0.325,-0.942861,0.2,-625.96,27.7845,376.586
0.325,-0.942861,0.2,-625.96,27.7845,376.586
0.295345,-0.480162,0.302256,-316.027,116.785,7.53932
0.296101,-0.482985,0.299652,-166.924,-99.9148,-109.23
0.285058,-0.267092,0.338054,-14.8051,-4.0145,-12.0053
0.280845,-0.29142,0.353658,1.5542,-0.339103,-0.237423
0.285065,0.0324947,0.338028,-32.6845,-7.13157,-14.2924
0.286048,0.433829,0.334387,-60.7501,5.29147,-33.6505
0.286333,0.433829,0.333333,-51.1281,-2.26635,-47.17
0.29988,-0.568259,0.286618,-467.68,-20.4293,62.505
0.299381,-0.614398,0.288339,-304.108,-55.982,-6.40987
0.273347,-0.438984,0.381431,-21.3555,-7.69853,1.10816
0.264182,-0.107933,0.415375,-89.1125,-4.24745,12.1164
0.257743,-0.0923912,0.439223,-53.7415,4.33035,10.4847
0.29386,0.261799,0.307378,-146.081,62.7405,-100.712
0.293245,0.2595,0.3095,-121.602,6.05302,20.6463
0.300517,0.618685,0.284421,-228.699,10.7646,39.4105
0.292665,-0.964743,0.311499,-367.324,-89.1348,-110.031
0.273877,-0.563812,0.379466,-8.76209,-1.66119,1.44954
0.273745,-0.563288,0.379954,-7.60407,-1.35848,1.33967
0.320977,-0.723567,0.21387,-264.19,39.8012,42.3296
0.258987,-0.209372,0.434614,-127.114,-18.2984,-79.1635
0.267822,0.0969095,0.401892,-21.0452,2.34213,4.001
0.256207,0.128246,0.444912,-25.0397,3.56458,4.92184
0.256335,0.128754,0.444438,-27.5647,5.07148,4.6219
0.278389,0.340709,0.362756,-58.8951,17.1587,6.46422
0.283833,0.3536,0.342592,-6.8657,1.81718,0.874771
0.310233,0.95,0.25092,-52.8037,0.384866,9.63253
0.310233,0.95,0.25092,-52.8037,0.384866,9.63253
0.305739,0.932542,0.266414,-6.10215,0.377528,1.09573
0.284331,-0.685874,0.340747,-10.7386,0.0309184,2.17603
0.289315,-0.70253,0.323051,-9.52628,-0.720302,1.69243
0.251752,-0.473587,0.46141,-15.6767,-3.06346,2.55561
0.26077,-0.357704,0.42801,-219.238,8.06839,21.2942
0.25905,-0.319586,0.434383,-77.767,27.0387,-23.2541
0.253338,-0.0181584,0.455535,-177.209,-59.4409,-10.7782
0.264359,0.23946,0.414718,-56.1038,16.0041,-3.68925
0.285086,0.525737,0.33795,-329.376,59.437,54.8
0.286333,0.525737,0.333333,-121.275,36.7115,-121.807
0.278025,0.50379,0.364102,-199.255,-41.8052,21.2208
0.320312,0.755323,0.216163,-54.801,-27.0817,-9.87516
0.32001,0.726715,0.217206,-352.042,-170.187,-53.4089
0.24629,-0.586623,0.482839,-250.471,-62.3682,39.1181
0.243019,-0.144887,0.495924,-12.5346,-6.21732,-5.98883
0.243144,-0.145421,0.495421,-11.2163,-5.84102,-5.28269
0.244318,-0.17354,0.490728,-12.1513,-3.31641,1.72223
0.245506,0.181328,0.485973,-151.11,29.3883,-21.3485
0.238745,0.16021,0.513018,-39.0129,2.4811,5.57171
0.258865,0.389986,0.435068,-25.7487,-5.04905,4.19022
0.252663,0.391251,0.458036,-20.3055,-2.60679,3.77492
0.296008,0.729924,0.299972,-2.68675,-1.39555,-1.23227
0.296666,0.684034,0.297701,-178.821,-93.288,-65.3859
0.296666,0.683333,0.297701,-170.071,-102.109,-48.6654
0.284366,0.715639,0.340617,-317.884,-146.562,-77.6472
