point_x,point_y,point_z,force_x,force_y,force_z
-0.0432385,0.95,0.215762,589.551,-55.462,53.9335
-0.0432385,0.95,0.215762,589.551,-55.462,53.9335
-0.0433531,0.95,0.209362,-4.30505,2.93072,0.06781
-0.0433531,0.95,0.209362,-4.30505,2.93072,0.06781
-0.0415573,-0.806996,0.30967,-66.2921,11.0759,-6.23612
-0.0414771,-0.811474,0.314146,282.021,-110.595,66.6247
-0.0426553,-0.298338,0.248338,-6.1449,-0.339044,-0.287488
-0.0426224,-0.296498,0.250178,28.6679,7.67761,-1.60146
-0.0422264,-0.287908,0.272298,15.4927,7.70534,-1.15768
-0.0411336,-0.540091,0.333333,91.2623,13.1955,48.6713
-0.0411817,-0.540091,0.330647,133.605,57.936,30.2999
-0.0414305,-0.191823,0.316751,371.897,146.471,56.6881
-0.0433718,0.091215,0.20832,86.751,13.3726,-17.5429
-0.0425213,-0.466717,0.255826,71.7328,-21.2955,-13.5703
-0.0425739,-0.463778,0.252888,-88.8051,4.87203,-7.87881
-0.0430714,-0.511576,0.225098,141.131,-12.0929,0.507576
-0.0430714,-0.516666,0.225098,-66.2725,-15.108,1.94602
-0.0433697,-0.0946659,0.208434,600.102,-170.136,109.56
-0.0435207,-0.0946659,0.2,33.1474,4.44213,-25.8083
-0.0432483,-0.10145,0.215216,-54.6915,-12.7714,5.45817
-0.0407144,-0.838774,0.358486,35.39,9.86187,-0.373223
-0.0409553,-0.457149,0.344033,5.46328,-2.4195,-1.38311
-0.0435207,-0.610015,0.2,3.8148,1.29208,4.45844
-0.0435207,-0.610015,0.2,3.8148,1.29208,4.45844
-0.0431636,-0.573757,0.219946,198.786,98.5846,-17.2595
-0.0435207,-0.0168768,0.2,-138.094,-0.652058,405.208
-0.0435207,-0.0168768,0.2,-138.094,-0.652058,405.208
-0.0435207,-0.0256133,0.2,528.349,-237.789,129.452
-0.0435207,-0.0256133,0.2,537.986,-233.538,35.8899
-0.0435207,0.325648,0.2,958.79,-92.4886,771.603
-0.0435207,0.325648,0.2,958.79,-92.4886,771.603
-0.0435207,0.301819,0.2,-0.79295,-3.05748,111.926
-0.0435207,0.301819,0.2,-0.79295,-3.05748,111.926
-0.0432955,0.323012,0.212584,2246.17,-160.929,966.169
-0.0429638,0.652223,0.231111,-34.2298,-5.0691,14.8724
-0.043019,0.649135,0.228024,66.809,-11.3071,29.9508
-0.0427596,0.625952,0.242511,697.903,-248.114,229.899
-0.039926,-0.620978,0.405784,209.38,7.30523,76.0158
-0.0414,-0.116667,0.318455,9.03777,0.262281,4.19561
-0.0414,-0.119945,0.318455,99.7051,-35.9128,32.3664
-0.041128,0.303826,0.333668,-0.556652,-0.00437637,-0.250434
-0.0411336,0.303826,0.333333,-1.35092,-0.0130893,-0.326302
-0.0424193,0.465951,0.261523,290.25,-87.8604,109.07
-0.0415626,0.69754,0.309375,118.639,43.4887,-32.2506
-0.0405355,0.940492,0.369218,83.4268,-8.21601,-23.0955
-0.0414634,0.936362,0.314911,25.0183,-11.6118,-5.21992
-0.0377027,0.868142,0.2,1.78046,-3.1911,7.30839
-0.0435207,-0.95626,0.2,448.459,-53.6792,-441.629
-0.0432874,-0.95626,0.213033,2745.59,309.783,669.804
-0.0409056,-0.298191,0.347012,196.578,-32.0969,70.923
-0.0406837,-0.265901,0.360325,43.0342,-12.9324,16.308
-0.0435207,0.736144,0.2,-56.2858,-11.7216,-9.34522
-0.0433515,0.736144,0.209453,597.74,-292.837,46.6821
-0.0427743,0.722692,0.241691,297.243,-79.2288,119.15
-0.0427952,0.723859,0.240525,258.925,33.1635,-1.60367
-0.0421181,0.816667,0.278343,-102.103,30.5075,-7.00737
-0.0421181,0.809821,0.278343,104.253,-34.732,10.3745
-0.043296,-0.853103,0.212554,235.095,35.9679,67.0422
-0.0430324,-0.889389,0.227278,-90.9626,10.0471,-14.6959
-0.0429624,-0.893298,0.231186,155.923,-55.849,-57.9185
-0.0435207,-0.783333,0.2,-25.7138,0.0676157,10.6009
-0.0435207,-0.779434,0.2,55.6764,1.16134,32.5198
-0.0435207,-0.783333,0.2,-25.7138,0.0676157,10.6009
-0.0435207,-0.779434,0.2,55.6764,1.16134,32.5198
-0.0435207,-0.783333,0.2,-25.7138,0.0676157,10.6009
-0.0435207,-0.783333,0.2,-25.7138,0.0676157,10.6009
-0.0432002,-0.759852,0.217902,83.356,39.4423,11.6298
-0.0425085,-0.680697,0.256537,306.006,6.18342,35.6258
