point_x,point_y,point_z,force_x,force_y,force_z
-0.318049,-0.423907,0.2,35.1997,4.05526,17.719
-0.318049,-0.423907,0.2,35.1997,4.05526,17.719
-0.318049,0.378209,0.2,6.83223,0.024136,6.89247
-0.318049,0.378209,0.2,6.83223,0.024136,6.89247
-0.299349,0.0584917,0.266012,9.27583,0.249951,-2.23777
-0.317232,0.119759,0.202883,32.6857,-8.36858,-27.5388
-0.318049,0.629177,0.2,8.39047,-2.20316,23.2208
-0.313173,0.629177,0.2,61.4552,-13.4469,125.818
-0.318049,0.618292,0.2,11.1718,-2.09221,0.253376
-0.318049,0.618292,0.2,11.1718,-2.09221,0.253376
-0.318049,0.777084,0.2,33.4644,-5.57652,109.153
-0.318049,0.777084,0.2,32.0422,4.26031,109.289
-0.312034,-0.824346,0.221234,309.507,-2.22882,-18.1684
-0.307011,0.406296,0.238964,138.725,-58.8876,-90.8794
-0.293637,0.7779,0.286177,52.943,25.4097,-7.31248
-0.309457,-0.0212644,0.23033,23.7417,-5.79073,-20.1669
-0.303858,0.222263,0.250095,120.273,-57.1803,-15.3642
-0.318049,0.541662,0.2,466.369,5.15057,326.938
-0.318049,0.541662,0.2,466.369,5.15057,326.938
-0.301514,-0.952828,0.258368,215.489,-60.9502,21.8873
-0.276444,0.0272142,0.347872,12.841,-1.84933,-10.7927
-0.318049,-0.954914,0.2,527.904,-83.2411,574.186
-0.318049,-0.954914,0.2,527.904,-83.2411,574.186
-0.286226,-0.0956609,0.312338,9.08677,0.935272,-8.19476
-0.31269,-0.327026,0.218918,125.564,-27.9159,-66.6592
-0.254817,0.85069,0.429871,302.022,-28.8192,-43.6574
-0.297541,-0.268363,0.272396,117.397,-34.2674,-33.6339
-0.295006,-0.223115,0.281341,61.8452,-3.29449,-19.9031
-0.290169,0.146252,0.298418,84.1052,10.824,-49.7609
-0.290169,0.15,0.298418,34.4448,-8.84143,-25.6648
-0.255849,0.590708,0.425958,19.2107,-3.4767,-10.8229
-0.255995,0.590118,0.425406,21.0175,-2.26216,-11.2688
-0.251782,0.95,0.441378,8.99044,-0.384922,1.2827
-0.251782,0.95,0.441378,8.99044,-0.384922,1.2827
-0.260027,-0.826357,0.410118,42.744,7.87148,-24.6498
-0.2526,-0.937427,0.438276,8.41704,-0.629789,-5.20388
-0.308939,-0.698713,0.23216,156.264,21.0322,-62.9545
-0.223661,-0.574729,0.554507,3.88145,-0.00186425,-2.9928
-0.277571,-0.315935,0.343597,25.1494,-10.4725,-10.2538
-0.282234,-0.339388,0.326429,42.4057,-5.33568,-34.8582
