X,Y,Z,Qw,Qx,Qy,Qz,clump_type,absv
-0.09290000051,0,0.003479763865,1,0,0,0,0010,0.0007433255669
-0.08576449752,0,0.003035902977,1,0,0,0,0001,7.592692418e-05
-0.07862900198,0,0.003427401185,1,0,0,0,0009,0.0006767692976
-0.07149349898,0,0.003033921123,1,0,0,0,0001,0.0006018139538
-0.06435799599,0,0.003124400973,1,0,0,0,0003,5.857005453e-05
-0.05722250044,0,0.00343157351,1,0,0,0,0009,6.186635437e-05
-0.05008699745,0,0.002981558442,1,0,0,0,0000,8.127852198e-05
-0.04295149446,0,0.003185063601,1,0,0,0,0004,1.314082328e-05
-0.03581599891,0,0.003083750606,1,0,0,0,0002,0.0003133818973
-0.02868049592,0,0.003026798368,1,0,0,0,0001,0.0004654735676
-0.02154500037,0,0.003028661013,1,0,0,0,0001,0.001026888494
-0.01440949738,0,0.00322650373,1,0,0,0,0005,1.41909868e-05
-0.007273994386,0,0.00333532691,1,0,0,0,0007,0.0001233535004
-0.0001384988427,0,0.003471508622,1,0,0,0,0010,0.000662201026
0.006997004151,0,0.003231048584,1,0,0,0,0005,0.0006767602172
0.01413249969,0,0.00328104198,1,0,0,0,0006,0.0004598943051
0.02126801014,0,0.003177091479,1,0,0,0,0004,0.0007107154815
0.02840350568,0,0.003032386303,1,0,0,0,0001,0.0004353563709
0.03553900123,0,0.00307944417,1,0,0,0,0002,0.0007168242591
0.04267451167,0,0.003230705857,1,0,0,0,0005,0.0002260577021
0.04980999231,0,0.003380030394,1,0,0,0,0008,0.0001577341463
0.05694550276,0,0.003079608083,1,0,0,0,0002,0.000343767606
0.0640810132,0,0.003074869514,1,0,0,0,0002,0.0008193830727
0.07121649384,0,0.003481328487,1,0,0,0,0010,0.000664194522
0.07835200429,0,0.003033474088,1,0,0,0,0001,0.0001858696487
0.08548751473,0,0.003031164408,1,0,0,0,0001,0.0002087637404
0.09262299538,0,0.003026753664,1,0,0,0,0001,0.0002143087186
-0.09290000051,0,0.01040442288,1,0,0,0,0009,0.001473631943
-0.08576449752,0,0.009168356657,1,0,0,0,0002,0.0001740723092
-0.07862900198,0,0.009848430753,1,0,0,0,0000,0.001548194792
-0.07149349898,0,0.009464204311,1,0,0,0,0008,0.001336490852
-0.06435799599,0,0.009692773223,1,0,0,0,0009,0.000134678834
-0.05722250044,0,0.01025854051,1,0,0,0,0008,0.000143662066
-0.05008699745,0,0.009459018707,1,0,0,0,0010,0.000182165677
-0.04295149446,0,0.009416297078,1,0,0,0,0001,3.032770474e-05
-0.03581599891,0,0.00946366787,1,0,0,0,0006,0.000701181998
